cambio_id,partido_id,seleccion_id,jugador_sale_id,jugador_entra_id,minuto
1,1,16,2747,2748,72
2,1,16,1347,75,72
3,1,28,2765,2769,68
4,1,28,16,2768,77
5,1,28,2767,2771,90
6,1,28,102,2770,90
7,2,46,42,45,70
8,2,46,234,2639,70
9,2,46,2786,104,70
10,2,46,43,46,70
11,2,46,18,2787,75
12,2,50,2796,2802,20
13,2,50,71,1437,46
14,2,50,1351,2805,46
15,2,50,2800,2803,46
16,2,50,2799,2804,63
17,2,50,2801,2806,77
18,3,125,2814,1391,62
19,3,125,73,76,69
20,3,125,2813,2816,73
21,3,125,2815,2817,73
22,3,115,2828,127,62
23,3,115,1481,48,79
24,3,115,1478,1469,79
25,3,115,47,2829,90+4
26,4,36,1357,2842,66
27,4,36,2839,1360,74
28,4,36,2840,129,74
29,4,36,1356,2841,74
30,4,36,49,2843,88
31,4,38,1433,2862,46
32,4,38,2854,2861,79
33,4,38,2858,2860,90+3
34,4,38,2857,2859,90+5
35,5,5,2875,111,59
36,5,5,1476,1477,59
37,5,5,1479,80,59
38,5,5,1581,1448,71
39,5,3,197,1364,45+4
40,5,3,51,2886,78
41,5,3,1364,1400,89
42,5,3,2885,2888,89
43,5,3,2883,2887,90+9
44,6,27,2899,2903,45+1
45,6,27,1716,1367,65
46,6,27,2902,1401,65
47,6,27,2900,2904,65
48,6,133,2921,2923,67
49,6,133,2920,1368,80
50,6,133,2919,2922,80
51,6,133,1394,1396,88
52,6,133,2917,1442,88
53,7,111,1406,2934,71
54,7,111,108,21,71
55,7,111,2933,2935,84
56,7,119,2948,2949,46
57,7,119,2947,1371,71
58,7,119,78,1399,87
59,8,37,2963,145,13
60,8,37,1487,2631,77
61,8,37,144,2965,77
62,8,37,220,1402,89
63,8,37,11,1494,89
64,8,6,77,2981,56
65,8,6,53,2980,73
66,8,6,2977,2979,73
67,8,6,1372,2978,85
68,8,6,2974,1440,85
69,9,58,2993,2995,60
70,9,58,1491,2997,65
71,9,58,1492,1413,81
72,9,58,113,2996,81
73,9,24,2620,2622,46
74,9,24,85,86,71
75,9,24,1471,87,79
76,9,24,134,149,90
77,10,1,55,1418,67
78,10,1,15,3019,67
79,10,1,3018,282,79
80,10,1,119,88,79
81,10,1,116,3020,90
82,10,55,3032,3035,46
83,10,55,133,57,57
84,10,55,1789,2621,57
85,10,55,115,56,71
86,10,55,3031,2619,75
87,11,35,3045,62,57
88,11,35,60,63,57
89,11,35,28,2633,64
90,11,35,37,3046,64
91,11,35,59,3047,69
92,11,22,3058,209,46
93,11,22,3059,276,61
94,11,22,1408,3062,61
95,11,22,1410,3061,72
96,11,22,3057,3060,82
97,12,12,1573,1377,46
98,12,12,1376,238,46
99,12,12,184,3073,62
100,12,12,64,3074,78
101,12,15,1451,3091,58
102,12,15,3087,3089,58
103,12,15,3085,1453,74
104,12,15,3086,1452,81
105,12,15,1414,3090,81
106,13,129,124,3106,72
107,13,129,3104,3105,72
108,13,129,65,262,72
109,13,129,1462,1427,81
110,13,129,3103,1474,90
111,13,14,3118,3121,68
112,13,14,94,93,74
113,13,14,3119,3122,74
114,13,14,3120,3123,81
115,14,135,175,36,64
116,14,135,1430,3138,79
117,14,135,3134,3139,79
118,14,135,3136,3137,88
119,14,21,1568,3155,74
120,14,21,3153,1460,74
121,14,21,3154,97,74
122,15,120,3168,3171,56
123,15,120,1429,68,77
124,15,120,2,138,88
125,15,120,3169,3170,88
126,15,120,67,3172,88
127,15,39,1382,1426,66
128,15,39,66,1665,77
129,15,39,96,69,77
130,15,39,3184,3185,90+2
131,15,39,3182,3186,90+2
132,16,10,136,294,75
133,16,10,135,2628,75
134,16,10,12,3200,79
135,16,10,70,3199,79
136,16,10,3198,3201,87
137,16,126,3211,3216,57
138,16,126,1385,3215,57
139,16,126,3210,125,66
140,16,126,1386,3214,66
141,16,126,92,3213,83
142,17,38,2858,1433,57
143,17,38,2856,2861,57
144,17,38,2857,2869,77
145,17,38,1434,2863,87
146,17,50,2806,1501,68
147,17,50,2801,71,77
148,17,50,2805,1351,77
149,17,50,2798,2804,77
150,17,50,2803,2800,83
151,18,16,1348,2746,69
152,18,16,2747,75,74
153,18,16,2742,2748,83
154,18,16,1390,2751,83
155,18,125,2815,1392,64
156,18,125,101,2826,74
157,18,125,74,76,74
158,18,125,1391,2812,78
159,18,125,1354,2824,78
160,19,115,1481,127,46
161,19,115,48,1478,69
162,19,115,1469,2829,79
163,19,115,47,142,79
164,19,28,2767,2769,74
165,19,28,2766,2765,90
166,19,28,16,2771,90
167,20,46,43,46,68
168,20,46,41,132,68
169,20,46,42,45,77
170,20,36,1356,2847,77
171,20,36,1357,2842,77
172,20,36,129,2840,83
173,20,36,49,2852,83
174,21,133,2917,1396,46
175,21,133,1394,107,67
176,21,133,185,1442,73
177,21,133,2920,1368,73
178,21,6,2977,2988,64
179,21,6,77,2991,64
180,21,6,2984,1440,75
181,21,6,53,2979,85
182,21,6,106,2978,85
183,22,119,78,2946,63
184,22,119,1399,2960,71
185,22,3,2892,1364,46
186,22,3,2887,2886,65
187,22,3,51,2893,85
188,22,3,1361,2895,85
189,22,3,1364,1447,90+5
190,23,37,11,1494,63
191,23,37,2693,2964,75
192,23,37,1487,2631,75
193,23,37,31,2965,90+2
194,23,27,1401,2912,46
