partido_id,seleccion_id,entrenador_id
1,16,73
1,28,74
2,46,75
2,50,76
3,125,77
3,115,78
4,36,79
4,38,80
5,5,1
5,3,81
6,27,82
6,133,83
7,111,84
7,119,85
8,37,2
8,6,86
9,58,87
9,24,88
10,1,89
10,55,90
11,35,91
11,22,20
12,12,92
12,15,93
13,129,94
13,14,95
14,135,96
14,21,97
15,120,98
15,39,99
16,10,100
16,126,101
17,38,80
17,50,76
18,16,73
18,125,77
19,115,78
19,28,74
20,46,75
20,36,79
21,133,83
21,6,86
22,119,85
22,3,81
23,37,2
23,27,82
24,5,1
24,111,84
25,55,90
25,22,20
26,12,92
26,58,87
27,24,88
27,15,93
28,35,91
28,1,89
29,14,95
29,126,101
30,21,97
30,39,99
31,10,100
31,129,94
32,120,98
32,135,96
33,115,78
33,16,73
34,28,74
34,125,77
35,38,80
35,46,75
36,50,76
36,36,79
37,6,86
37,27,82
38,133,83
38,37,2
39,3,81
39,111,84
40,119,85
40,5,1
41,24,88
41,12,92
42,15,93
42,58,87
43,55,90
43,35,91
44,22,20
44,1,89
45,39,99
45,135,96
46,21,97
46,120,98
47,126,101
47,129,94
48,14,95
48,10,100
49,115,78
49,36,79
50,5,1
50,6,86
51,46,75
51,125,77
52,37,2
52,119,85
53,55,90
53,24,88
54,10,100
54,21,97
55,58,87
55,35,91
56,120,98
56,129,94
57,115,78
57,5,1
58,24,88
58,10,100
59,46,75
59,37,2
60,58,87
60,120,98
61,5,1
61,24,88
62,37,2
62,58,87
63,24,88
63,58,87
64,5,1
64,37,2
65,124,5
65,3,102
66,29,4
66,135,6
67,120,98
67,35,103
68,58,81
68,50,76
69,37,2
69,6,104
71,5,3
71,51,105
72,24,88
72,112,106
73,10,100
73,129,107
74,22,108
74,126,109
76,128,110
76,21,111
77,12,92
77,116,112
80,19,18
80,55,113
81,124,5
81,29,4
82,135,6
82,3,102
83,120,98
83,58,81
84,50,76
84,35,103
85,37,2
85,118,114
86,27,115
86,6,104
87,5,3
87,24,88
88,112,106
88,51,105
90,126,109
90,129,107
91,1,7
91,128,110
93,12,92
93,133,116
94,46,75
94,116,112
95,119,117
95,19,18
96,55,113
96,125,77
97,135,6
97,124,5
98,3,102
98,29,4
100,35,103
100,58,81
101,27,115
101,37,2
102,6,104
102,118,114
103,112,106
103,5,3
104,51,105
104,24,88
105,126,109
105,10,100
106,129,107
106,22,108
107,21,111
107,1,7
108,111,118
108,128,110
109,46,75
109,12,92
110,116,112
110,133,116
111,55,113
111,119,117
112,125,77
112,19,18
113,135,6
113,120,98
114,37,2
114,5,3
115,35,103
115,124,5
116,24,88
116,27,115
118,12,92
118,55,113
119,128,110
119,129,107
120,19,18
120,46,75
122,10,100
122,12,92
123,124,5
123,24,88
124,128,110
124,46,75
125,37,2
125,12,92
126,24,88
126,46,75
127,12,92
127,46,75
