anio,jugador,jugador_slug,seleccion,goles
2022,Kylian Mbappé,kylian_mbappe,Francia,1
2022,Lionel Messi,lionel_messi,Argentina,1
2022,Julian Alvarez,julian_alvarez,Argentina,0
2022,Olivier Giroud,olivier_giroud,Francia,0
2022,Cody Gakpo,cody_gakpo,Paises Bajos,0
2022,Álvaro Morata,alvaro_morata,España,0
2022,Gonçalo Ramos,goncalo_ramos,Portugal,0
2022,Marcus Rashford,marcus_rashford,Inglaterra,0
2022,Richarlison,richarlison,Brasil,0
2022,Bukayo Saka,bukayo_saka,Inglaterra,0
2022,Enner Valencia,enner_valencia,Ecuador,1
2022,Vincent Aboubakar,vincent_aboubakar,Camerún,0
2022,Salem Al-Dawsari,salem_al_dawsari,Arabia Saudita,0
2022,Gue-sung Cho,gue_sung_cho,Corea del Sur,0
2022,Giorgian De Arrascaeta,giorgian_de_arrascaeta,Uruguay,1
2022,Ritsu Doan,ritsu_doan,Japón,0
2022,Breel Embolo,breel_embolo,Suiza,0
2022,Youssef En-Nesyri,youssef_en_nesyri,Marruecos,0
2022,Bruno Fernandes,bruno_fernandes,Portugal,0
2022,Niclas Füllkrug,niclas_fullkrug,Alemania,0
2022,Kai Havertz,kai_havertz,Alemania,1
2022,Harry Kane,harry_kane,Inglaterra,0
2022,Andrej Kramarić,andrej_kramaric,Croacia,0
2022,Mohammed Kudus,mohammed_kudus,Ghana,0
2022,Rafael Leão,rafael_leao,Portugal,0
2022,Robert Lewandowski,robert_lewandowski,Polonia,0
2022,Aleksandar Mitrović,aleksandar_mitrovic,Serbia,0
2022,Neymar Jr.,neymar,Brasil,0
2022,Mehdi Taremi,mehdi_taremi,Irán,0
2022,Ferran Torres,ferran_torres,España,0
2022,Wout Weghorst,wout_weghorst,Paises Bajos,0
2022,Zakaria Aboukhlal,zakaria_aboukhlal,Marruecos,0
2022,Manuel Akanji,manuel_akanji,Suiza,0
2022,Saleh Al-Shehri,saleh_al_shehri,Arabia Saudita,0
2022,Takuma Asano,takuma_asano,Japón,0
2022,Marco Asensio,marco_asensio,España,0
2022,Andre Ayew,andre_ayew,Ghana,0
2022,Gareth Bale,gareth_bale,Gales,0
2022,Michy Batshuayi,michy_batshuayi,Bélgica,0
2022,Jude Bellingham,jude_bellingham,Inglaterra,0
2022,Daley Blind,daley_blind,Paises Bajos,0
2022,Osman Bukari,osman_bukari,Ghana,0
2022,Moisés Caicedo,moises_caicedo,Ecuador,0
2022,Casemiro,casemiro,Brasil,0
2022,Jean-Charles Castelletto,jean_charles_castelletto,Camerún,0
2022,Luis Chávez,luis_chavez,México,0
2022,Rouzbeh Cheshmi,rouzbeh_cheshmi,Irán,0
2022,Eric Maxim Choupo Moting,eric_choupo_moting,Camerún,0
2022,Andreas Christensen,andreas_christensen,Dinamarca,0
2022,Achraf Dari,achraf_dari,Marruecos,0
2022,Alphonso Davies,alphonso_davies,Canadá,0
2022,Frenkie de Jong,frenkie_de_jong,Paises Bajos,0
2022,Memphis Depay,memphis_depay,Paises Bajos,0
2022,Angel Di Maria,angel_di_maria,Argentina,0
2022,Boulaye Dia,boulaye_dia,Senegal,0
2022,Famara Diéhiou,famara_diehiou,Senegal,0
2022,Bamba Dieng,bamba_dieng,Senegal,0
2022,Mitchell Duke,mitchell_duke,Australia,0
2022,Denzel Dumfries,denzel_dumfries,Paises Bajos,0
2022,João Félix,joao_felix,Portugal,0
2022,Enzo Fernandez,enzo_fernandez,Argentina,0
2022,Phil Foden,phil_foden,Inglaterra,0
2022,Remo Freuler,remo_freuler,Suiza,0
2022,Keysher Fuller,keysher_fuller,Costa Rica,0
2022,Gavi,gavi,España,0
2022,Serge Gnabry,serge_gnabry,Alemania,0
2022,Craig Goodwin,craig_goodwin,Australia,0
2022,Jack Grealish,jack_grealish,Inglaterra,0
2022,Raphaël Guerreiro,raphael_guerreiro,Portugal,0
2022,Ilkay Gündogan,ilkay_gundogan,Alemania,0
2022,Josko Gvardiol,josko_gvardiol,Croacia,0
2022,Jordan Henderson,jordan_henderson,Inglaterra,0
2022,Théo Hernandez,theo_hernandez,Francia,0
2022,Ricardo Horta,ricardo_horta,Portugal,0
2022,Hee-chan Hwang,hee_chan_hwang,Corea del Sur,0
2022,Wahbi Khazri,wahbi_khazri,Túnez,0
2022,Young-Gwon Kim,young_gwon_kim,Corea del Sur,0
2022,Davy Klaassen,davy_klaassen,Paises Bajos,0
2022,Randal Kolo Muani,randal_kolo_muani,Francia,0
2022,Kalidou Koulibaly,kalidou_koulibaly,Senegal,0
2022,Mathew Leckie,mathew_leckie,Australia,0
2022,Marko Livaja,marko_livaja,Croacia,0
2022,Alexis Mac Allister,alexis_mac_allister,Argentina,0
2022,Daizen Maeda,daizen_maeda,Japón,0
2022,Lovro Majer,lovro_majer,Croacia,0
2022,Henry Martin,henry_martin,México,0
2022,Sergej Milinković-Savić,sergej_milinkovic_savic,Serbia,0
2022,Nahuel Molina,nahuel_molina,Argentina,0
2022,Mohammed Muntari,mohammed_muntari,Catar,0
2022,Dani Olmo,dani_olmo,España,0
2022,Mislav Orsic,mislav_orsic,Croacia,0
2022,Seung-ho Paik,seung_ho_paik,Corea del Sur,1
2022,Lucas Paqueta,lucas_paqueta,Brasil,0
2022,Strahinja Pavlovic,strahinja_pavlovic,Serbia,0
2022,Pepe,pepe,Portugal,0
2022,Ivan Perisic,ivan_perisic,Croacia,0
2022,Bruno Petkovic,bruno_petkovic,Croacia,0
2022,Christian Pulisic,christian_pulisic,Estados Unidos,0
2022,Adrien Rabiot,adrien_rabiot,Francia,0
2022,Ramin Rezaeian,ramin_rezaeian,Irán,0
2022,Cristiano Ronaldo,cristiano_ronaldo,Portugal,0
2022,Romain Saïss,romain_saiss,Marruecos,0
2022,Mohammed Salisu,mohammed_salisu,Ghana,0
2022,Ismaïla Sarr,ismaila_sarr,Senegal,0
2022,Xherdan Shaqiri,xherdan_shaqiri,Suiza,0
2022,Carlos Soler,carlos_soler,España,0
2022,Raheem Sterling,raheem_sterling,Inglaterra,0
2022,Ao Tanaka,ao_tanaka,Japón,0
2022,Aurélien Tchouaméni,aurelien_tchouameni,Francia,0
2022,Yeltsin Tejeda,yeltsin_tejeda,Costa Rica,0
2022,Juan Pablo Vargas,juan_pablo_vargas,Costa Rica,1
2022,Vinicius Junior,vinicius_junior,Brasil,0
2022,Dusan Vlahovic,dusan_vlahovic,Serbia,0
2022,Tim Weah,tim_weah,Estados Unidos,0
2022,Haji Wright,haji_wright,Estados Unidos,0
2022,Piotr Zieliński,piotr_zielinski,Polonia,0
2022,Hakim Ziyech,hakim_ziyech,Marruecos,0
2018,Harry Kane,harry_kane,Inglaterra,1
2018,Denis Cheryshev,denis_cheryshev,Rusia,0
2018,Antoine Griezmann,antoine_griezmann,Francia,0
2018,Romelu Lukaku,romelu_lukaku,Bélgica,0
2018,Kylian Mbappé,kylian_mbappe,Francia,0
2018,Cristiano Ronaldo,cristiano_ronaldo,Portugal,1
2018,Edinson Cavani,edinson_cavani,Uruguay,0
2018,Diego Costa,diego_costa,España,0
2018,Artem Dzyuba,artem_dzyuba,Rusia,0
2018,Eden Hazard,eden_hazard,Bélgica,0
2018,Mario Mandzukic,mario_mandzukic,Croacia,0
2018,Yerry Mina,yerry_mina,Colombia,1
2018,Ivan Perisic,ivan_perisic,Croacia,0
2018,Sergio Agüero,sergio_aguero,Argentina,0
2018,Andreas Granqvist,andreas_granqvist,Suecia,0
2018,Takashi Inui,takashi_inui,Japón,0
2018,Mile Jedinak,mile_jedinak,Australia,0
2018,Wahbi Khazri,wahbi_khazri,Túnez,0
2018,Luka Modric,luka_modric,Croacia,0
2018,Ahmed Musa,ahmed_musa,Nigeria,0
2018,Neymar Jr.,neymar,Brasil,0
2018,Philippe Coutinho,philippe_coutinho,Brasil,0
2018,Mohamed Salah,mohamed_salah,Egipto,1
2018,Heung-Min Son,heung_min_son,Corea del Sur,0
2018,John Stones,john_stones,Inglaterra,0
2018,Luis Suarez,luis_suarez,Uruguay,0
2018,Salem Al-Dawsari,salem_al_dawsari,Arabia Saudita,0
