anio,grupo,posicion,seleccion_id,pts,pj,pg,pe,pp,gf,gc,dif,clasificado
2026,A,0,21,0,0,0,0,0,0,0,0,False
2026,A,0,111,0,0,0,0,0,0,0,0,False
2026,A,0,127,0,0,0,0,0,0,0,0,False
2026,B,0,15,0,0,0,0,0,0,0,0,False
2026,B,0,16,0,0,0,0,0,0,0,0,False
2026,B,0,129,0,0,0,0,0,0,0,0,False
2026,C,0,10,0,0,0,0,0,0,0,0,False
2026,C,0,32,0,0,0,0,0,0,0,0,False
2026,C,0,41,0,0,0,0,0,0,0,0,False
2026,C,0,58,0,0,0,0,0,0,0,0,False
2026,D,0,6,0,0,0,0,0,0,0,0,False
2026,D,0,36,0,0,0,0,0,0,0,0,False
2026,D,0,117,0,0,0,0,0,0,0,0,False
2026,E,0,1,0,0,0,0,0,0,0,0,False
2026,E,0,23,0,0,0,0,0,0,0,0,False
2026,E,0,26,0,0,0,0,0,0,0,0,False
2026,E,0,28,0,0,0,0,0,0,0,0,False
2026,F,0,55,0,0,0,0,0,0,0,0,False
2026,F,0,115,0,0,0,0,0,0,0,0,False
2026,F,0,133,0,0,0,0,0,0,0,0,False
2026,G,0,12,0,0,0,0,0,0,0,0,False
2026,G,0,29,0,0,0,0,0,0,0,0,False
2026,G,0,50,0,0,0,0,0,0,0,0,False
2026,G,0,114,0,0,0,0,0,0,0,0,False
2026,H,0,3,0,0,0,0,0,0,0,0,False
2026,H,0,13,0,0,0,0,0,0,0,0,False
2026,H,0,35,0,0,0,0,0,0,0,0,False
2026,H,0,135,0,0,0,0,0,0,0,0,False
2026,I,0,37,0,0,0,0,0,0,0,0,False
2026,I,0,113,0,0,0,0,0,0,0,0,False
2026,I,0,125,0,0,0,0,0,0,0,0,False
2026,J,0,4,0,0,0,0,0,0,0,0,False
2026,J,0,5,0,0,0,0,0,0,0,0,False
2026,J,0,7,0,0,0,0,0,0,0,0,False
2026,J,0,56,0,0,0,0,0,0,0,0,False
2026,K,0,19,0,0,0,0,0,0,0,0,False
2026,K,0,120,0,0,0,0,0,0,0,0,False
2026,K,0,136,0,0,0,0,0,0,0,0,False
2026,L,0,24,0,0,0,0,0,0,0,0,False
2026,L,0,39,0,0,0,0,0,0,0,0,False
2026,L,0,46,0,0,0,0,0,0,0,0,False
2026,L,0,116,0,0,0,0,0,0,0,0,False
2022,A,1,115,7,3,2,1,0,5,1,4,True
2022,A,2,125,6,3,2,0,1,5,4,1,True
2022,A,3,28,4,3,1,1,1,4,3,1,False
2022,A,4,16,0,3,0,0,3,1,7,-6,False
2022,B,1,46,7,3,2,1,0,9,2,7,True
2022,B,2,36,5,3,1,2,0,2,1,1,True
2022,B,3,50,3,3,1,0,2,4,7,-3,False
2022,B,4,38,1,3,0,1,2,1,6,-5,False
2022,C,1,5,6,3,2,0,1,5,2,3,True
2022,C,2,119,4,3,1,1,1,2,2,0,True
2022,C,3,111,4,3,1,1,1,2,3,-1,False
2022,C,4,3,3,3,1,0,2,3,5,-2,False
2022,D,1,37,6,3,2,0,1,6,3,3,True
2022,D,2,6,6,3,2,0,1,3,4,-1,True
2022,D,3,133,4,3,1,1,1,1,1,0,False
2022,D,4,27,1,3,0,1,2,1,3,-2,False
2022,E,1,55,6,3,2,0,1,4,3,1,True
2022,E,2,35,4,3,1,1,1,9,3,6,True
2022,E,3,1,4,3,1,1,1,6,5,1,False
2022,E,4,22,3,3,1,0,2,3,11,-8,False
2022,F,1,58,7,3,2,1,0,4,1,3,True
2022,F,2,24,5,3,1,2,0,4,1,3,True
2022,F,3,12,4,3,1,1,1,1,2,-1,False
2022,F,4,15,0,3,0,0,3,2,7,-5,False
2022,G,1,10,6,3,2,0,1,3,1,2,True
2022,G,2,129,6,3,2,0,1,4,3,1,True
2022,G,3,14,4,3,1,1,1,4,4,0,False
2022,G,4,126,1,3,0,1,2,5,8,-3,False
2022,H,1,120,6,3,2,0,1,6,4,2,True
2022,H,2,21,4,3,1,1,1,4,4,0,True
2022,H,3,135,4,3,1,1,1,2,2,0,False
2022,H,4,39,3,3,1,0,2,5,7,-2,False
2018,A,1,135,9,3,3,0,0,5,0,5,True
2018,A,2,124,6,3,2,0,1,8,4,4,True
2018,A,3,3,3,3,1,0,2,2,7,-5,False
2018,A,4,29,0,3,0,0,3,2,6,-4,False
2018,B,1,35,5,3,1,2,0,6,5,1,True
2018,B,2,120,5,3,1,2,0,5,4,1,True
2018,B,3,50,4,3,1,1,1,2,2,0,False
2018,B,4,58,1,3,0,1,2,2,4,-2,False
2018,C,1,37,7,3,2,1,0,3,1,2,True
2018,C,2,27,5,3,1,2,0,2,1,1,True
2018,C,3,118,3,3,1,0,2,2,2,0,False
2018,C,4,6,1,3,0,1,2,2,5,-3,False
2018,D,1,24,9,3,3,0,0,7,1,6,True
2018,D,2,5,4,3,1,1,1,3,5,-2,True
2018,D,3,112,3,3,1,0,2,3,4,-1,False
2018,D,4,51,1,3,0,1,2,2,5,-3,False
