anio,seleccion_id,posicion,etapa,pts,pj,pg,pe,pp,gf,gc,dif,participo
1930,1,,no participó,,,,,,,,,False
1934,1,3.0,Partido 3er Puesto,6.0,4.0,3.0,0.0,1.0,11.0,8.0,3.0,True
1938,1,10.0,Octavos de Final,1.0,2.0,0.0,1.0,1.0,3.0,5.0,-2.0,True
1950,1,,no participó,,,,,,,,,False
1954,1,1.0,Final,10.0,6.0,5.0,0.0,1.0,25.0,14.0,11.0,True
1958,1,4.0,Partido 3er Puesto,6.0,6.0,2.0,2.0,2.0,12.0,14.0,-2.0,True
1962,1,7.0,Cuartos de Final,5.0,4.0,2.0,1.0,1.0,4.0,2.0,2.0,True
1966,1,2.0,Final,9.0,6.0,4.0,1.0,1.0,15.0,6.0,9.0,True
1970,1,3.0,Partido 3er Puesto,10.0,6.0,5.0,0.0,1.0,17.0,10.0,7.0,True
1974,1,1.0,Final,12.0,7.0,6.0,0.0,1.0,13.0,4.0,9.0,True
1978,1,6.0,Grupos 2da Ronda,6.0,6.0,1.0,4.0,1.0,10.0,5.0,5.0,True
1982,1,2.0,Final,8.0,7.0,3.0,2.0,2.0,12.0,10.0,2.0,True
1986,1,2.0,Final,8.0,7.0,3.0,2.0,2.0,8.0,7.0,1.0,True
1990,1,1.0,Final,12.0,7.0,5.0,2.0,0.0,15.0,5.0,10.0,True
1994,1,5.0,Cuartos de Final,10.0,5.0,3.0,1.0,1.0,9.0,7.0,2.0,True
1998,1,7.0,Cuartos de Final,10.0,5.0,3.0,1.0,1.0,8.0,6.0,2.0,True
2002,1,2.0,Final,16.0,7.0,5.0,1.0,1.0,14.0,3.0,11.0,True
2006,1,3.0,Partido 3er Puesto,16.0,7.0,5.0,1.0,1.0,14.0,6.0,8.0,True
2010,1,3.0,Partido 3er Puesto,15.0,7.0,5.0,0.0,2.0,16.0,5.0,11.0,True
2014,1,1.0,Final,19.0,7.0,6.0,1.0,0.0,18.0,4.0,14.0,True
2018,1,22.0,Grupos 1ra Ronda,3.0,3.0,1.0,0.0,2.0,2.0,4.0,-2.0,True
2022,1,17.0,Grupos 1ra Ronda,4.0,3.0,1.0,1.0,1.0,6.0,5.0,1.0,True
2026,1,,clasificado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
1930,2,,no participó,,,,,,,,,False
1934,2,,no participó,,,,,,,,,False
1938,2,,no participó,,,,,,,,,False
1950,2,,no participó,,,,,,,,,False
1954,2,,no participó,,,,,,,,,False
1958,2,,no participó,,,,,,,,,False
1962,2,,no participó,,,,,,,,,False
1966,2,,no participó,,,,,,,,,False
