anio,seleccion_id,jugador_id,posicion,camiseta,club
2022,5,2876,AR,1,River Plate (ARG)
2022,5,2877,AR,12,Villarreal (ESP)
2022,5,1495,AR,23,Aston Villa (ING)
2022,5,2878,DF,2,Villarreal (ESP)
2022,5,1581,DF,3,Olympique de Lyon (FRA)
2022,5,1404,DF,4,Sevilla FC (ESP)
2022,5,1482,DF,6,Real Betis (ESP)
2022,5,1476,DF,13,Tottenham Hotspur (ING)
2022,5,1480,DF,19,Benfica (POR)
2022,5,1477,DF,25,Manchester United (ING)
2022,5,141,DF,26,Atlético Madrid (ESP)
2022,5,1479,MC,5,Juventus (ITA)
2022,5,2874,MC,7,Atlético Madrid (ESP)
2022,5,1448,MC,8,Sevilla FC (ESP)
2022,5,2879,MC,14,Bayer Leverkusen (ALE)
2022,5,2880,MC,16,Atlanta United FC (USA)
2022,5,2875,MC,17,Sevilla FC (ESP)
2022,5,2881,MC,18,Real Betis (ESP)
2022,5,110,MC,20,Brighton & Hove Albion (ING)
2022,5,80,MC,24,Benfica (POR)
2022,5,111,DL,9,Manchester City (ING)
2022,5,1,DL,10,PSG (FRA)
2022,5,150,DL,11,Juventus (ITA)
2022,5,2882,DL,15,Atlético Madrid (ESP)
2022,5,2630,DL,21,Roma (ITA)
2022,5,2627,DL,22,Inter (ITA)
2022,37,2961,AR,1,Tottenham Hotspur (ING)
2022,37,2966,AR,16,Stade Rennais (FRA)
2022,37,2967,AR,23,Fulham (ING)
2022,37,220,DF,2,Bayern Munich (ALE)
2022,37,2968,DF,3,AS Monaco FC (FRA)
2022,37,2693,DF,4,Manchester United (ING)
2022,37,1402,DF,5,FC Barcelona (ESP)
2022,37,2965,DF,13,AS Monaco FC (FRA)
2022,37,2969,DF,17,Arsenal (ING)
2022,37,2962,DF,18,Bayern Munich (ALE)
2022,37,2963,DF,21,Bayern Munich (ALE)
2022,37,145,DF,22,Milan (ITA)
2022,37,2964,DF,24,Liverpool (ING)
2022,37,2970,MC,6,Olympique de Marseille (FRA)
2022,37,144,MC,8,Real Madrid CF (ESP)
2022,37,54,MC,14,Young Boys (SUI)
2022,37,2971,MC,15,Olympique de Marseille (FRA)
2022,37,2972,MC,25,Real Madrid CF (ESP)
2022,37,31,DL,7,Atlético Madrid (ESP)
2022,37,11,DL,9,Milan (ITA)
2022,37,3,DL,10,PSG (FRA)
2022,37,1487,DL,11,FC Barcelona (ESP)
2022,37,146,DL,12,Eintracht Braunschweig (ALE)
2022,37,13,DL,19,Real Madrid CF (ESP)
2022,37,2631,DL,20,Bayern Munich (ALE)
2022,37,1494,DL,26,Borussia Mönchengladbach (ALE)
2018,5,3327,AR,1,Tigres (MEX)
2018,5,2876,AR,12,River Plate (ARG)
2018,5,3323,AR,23,Chelsea (ING)
2018,5,219,DF,2,Sevilla FC (ESP)
2018,5,1581,DF,3,Ajax (HOL)
2018,5,3328,DF,4,Torino (ITA)
2018,5,3329,DF,6,Roma (ITA)
2018,5,1448,DF,8,Sporting de Lisboa (POR)
2018,5,204,DF,16,Manchester United (ING)
2018,5,1480,DF,17,Manchester City (ING)
2018,5,3324,DF,18,Benfica (POR)
2018,5,1690,MC,5,Milan (ITA)
2018,5,1559,MC,7,Sevilla FC (ESP)
2018,5,150,MC,11,PSG (FRA)
2018,5,3325,MC,13,Independiente (ARG)
2018,5,1558,MC,14,Hebei China Fortune (CHN)
2018,5,3330,MC,15,River Plate (ARG)
2018,5,3331,MC,20,PSG (FRA)
2018,5,3326,MC,22,Boca Juniors (ARG)
2018,5,322,DL,9,Juventus (ITA)
2018,5,1,DL,10,FC Barcelona (ESP)
2018,5,161,DL,19,Manchester City (ING)
2018,5,2630,DL,21,Juventus (ITA)
2018,29,3258,AR,1,Al-Taawoun (ARA)
2018,29,3259,AR,16,Al-Ahly (EGI)
2018,29,3249,AR,23,Al-Ahly (EGI)
2018,29,1545,DF,2,West Bromwich Albion (ING)
2018,29,3260,DF,3,Aston Villa (ING)
2018,29,1498,DF,6,West Bromwich Albion (ING)
2018,29,1546,DF,7,Al-Ahly (EGI)
2018,29,3261,DF,12,Al-Ahly (EGI)
2018,29,3250,DF,13,Al-Ahli (ARA)
2018,29,3262,DF,15,Zamalek (EGI)
2018,29,3263,DF,20,Al-Ahly (EGI)
2018,29,3264,MC,4,Los Angeles FC (USA)
2018,29,1497,MC,5,Wigan Athletic (ING)
2018,29,3251,MC,8,Zamalek (EGI)
2018,29,3252,MC,17,Arsenal (ING)
2018,29,3253,MC,19,Kuopion Palloseura (FIN)
2018,29,1520,MC,21,Kasımpaşa (TUR)
2018,29,3254,DL,9,Al-Ahly (EGI)
2018,29,174,DL,10,Liverpool (ING)
2018,29,3256,DL,11,Al-Ittihad (ARA)
2018,29,3257,DL,14,Stoke City (ING)
2018,29,3265,DL,18,Al-Raed (ARA)
2018,29,3255,DL,22,Atromitos (GRE)
