anio,premio,jugador_id,seleccion_id
2022,Balón de Oro,1,5
2022,Balón de Plata,3,37
2022,Balón de Bronce,7,24
2022,Botín de Oro,3,37
2022,Botín de Plata,1,5
2022,Botín de Bronce,11,37
2022,Guante de Oro,1495,5
2022,Mejor Jugador Joven,80,5
2018,Balón de Oro,7,24
2018,Balón de Plata,184,12
2018,Balón de Bronce,31,37
2018,Botín de Oro,18,46
2018,Botín de Plata,31,37
2018,Botín de Bronce,169,12
2018,Guante de Oro,2737,12
2018,Mejor Jugador Joven,3,37
2014,Balón de Oro,1,5
2014,Balón de Plata,15,1
2014,Balón de Bronce,244,115
2014,Botín de Oro,252,19
2014,Botín de Plata,15,1
2014,Botín de Bronce,12,10
2014,Guante de Oro,2738,1
2014,Mejor Jugador Joven,317,37
2010,Balón de Oro,40,135
2010,Balón de Plata,314,115
2010,Balón de Bronce,298,35
2010,Botín de Oro,15,1
2010,Botín de Plata,298,35
2010,Botín de Bronce,314,115
2010,Guante de Oro,1600,35
2010,Mejor Jugador Joven,15,1
2006,Balón de Oro,26,37
2006,Balón de Plata,1784,53
2006,Balón de Bronce,411,53
2006,Botín de Oro,6,1
2006,Botín de Plata,406,5
2006,Botín de Bronce,4,10
2006,Guante de Oro,23,53
2006,Mejor Jugador Joven,331,1
2002,Balón de Oro,2050,1
2002,Balón de Plata,4,10
2002,Balón de Bronce,655,21
2002,Botín de Oro,4,10
2002,Guante de Oro,2050,1
2002,Mejor Jugador Joven,352,36
1998,Balón de Oro,4,10
1998,Balón de Plata,587,24
1998,Balón de Bronce,651,37
1998,Botín de Oro,587,24
1998,Guante de Oro,2739,37
1998,Mejor Jugador Joven,556,46
1994,Balón de Oro,668,10
1994,Balón de Plata,574,53
1994,Balón de Bronce,691,11
1994,Botín de Oro,685,124
1994,Guante de Oro,2740,12
1994,Mejor Jugador Joven,602,115
1990,Balón de Oro,718,53
1990,Balón de Plata,19,1
1990,Balón de Bronce,9,5
1990,Botín de Oro,718,53
1990,Mejor Jugador Joven,586,137
1986,Balón de Oro,9,5
1986,Balón de Plata,2741,1
1986,Balón de Bronce,795,27
1986,Botín de Oro,730,46
1986,Mejor Jugador Joven,744,12
1982,Balón de Oro,917,53
1982,Balón de Plata,872,10
1982,Balón de Bronce,841,1
1982,Botín de Oro,917,53
1982,Mejor Jugador Joven,839,37
1978,Botín de Oro,25,5
1978,Mejor Jugador Joven,2434,53
1974,Botín de Oro,895,119
1974,Mejor Jugador Joven,2536,119
1970,Botín de Oro,29,1
1970,Mejor Jugador Joven,948,118
1966,Botín de Oro,17,120
1966,Mejor Jugador Joven,1010,1
1962,Botín de Oro,1064,43
1962,Mejor Jugador Joven,1064,43
1958,Botín de Oro,20,37
1958,Mejor Jugador Joven,8,10
1954,Botín de Oro,1156,43
1950,Botín de Oro,1195,10
1938,Botín de Oro,1243,10
1934,Botín de Oro,1253,122
1930,Botín de Oro,1328,5
