seleccion_id,nombre
1,Alemania
2,Angola
3,Arabia Saudita
4,Argelia
5,Argentina
6,Australia
7,Austria
8,Bolivia
9,Bosnia-Herzegovina
10,Brasil
11,Bulgaria
12,Bélgica
13,Cabo Verde
14,Camerún
15,Canadá
16,Catar
17,Chile
18,China
19,Colombia
20,Corea del Norte
21,Corea del Sur
22,Costa Rica
23,Costa de Marfil
24,Croacia
25,Cuba
26,Curazao
27,Dinamarca
28,Ecuador
29,Egipto
30,El Salvador
31,Emiratos Arabes
32,Escocia
33,Eslovaquia
34,Eslovenia
35,España
36,Estados Unidos
37,Francia
38,Gales
39,Ghana
40,Grecia
41,Haití
42,Honduras
43,Hungría
44,Indias Orientales Holand.
45,Indonesia
46,Inglaterra
47,Iraq
48,Irlanda
49,Irlanda del Norte
50,Irán
51,Islandia
52,Israel
53,Italia
54,Jamaica
55,Japón
56,Jordania
57,Kuwait
58,Marruecos
59,Minuto 10
60,Minuto 13
61,Minuto 16
62,Minuto 20
63,Minuto 24
64,Minuto 31
65,Minuto 36
66,Minuto 44
67,Minuto 46
68,Minuto 46 (en el entretiempo)
69,Minuto 47
70,Minuto 51
71,Minuto 52
72,Minuto 53
73,Minuto 54
74,Minuto 57
75,Minuto 58
76,Minuto 59
77,Minuto 60
78,Minuto 61
79,Minuto 62
80,Minuto 63
81,Minuto 64
82,Minuto 65
83,Minuto 66
84,Minuto 67
85,Minuto 68
86,Minuto 69
87,Minuto 70
88,Minuto 71
89,Minuto 72
90,Minuto 73
91,Minuto 74
92,Minuto 75
93,Minuto 76
94,Minuto 77
95,Minuto 78
96,Minuto 79
97,Minuto 80
98,Minuto 81
99,Minuto 82
100,Minuto 83
101,Minuto 84
102,Minuto 85
103,Minuto 86
104,Minuto 87
105,Minuto 88
106,Minuto 89
107,Minuto 90
108,Minuto 91
109,Minuto 93
110,Minuto 99
111,México
112,Nigeria
113,Noruega
114,Nueva Zelanda
115,Paises Bajos
116,Panamá
117,Paraguay
118,Perú
119,Polonia
120,Portugal
121,RD Congo
122,República Checa
123,Rumania
124,Rusia
125,Senegal
126,Serbia
127,Sudáfrica
128,Suecia
129,Suiza
130,Togo
131,Trinidad y Tobago
132,Turquía
133,Túnez
134,Ucrania
135,Uruguay
136,Uzbekistán
137,Yugoslavia
138,Zaire
