tarjeta_id,partido_id,seleccion_id,jugador_id,tipo,minuto
1,1,16,1346,amarilla,15
2,1,16,1347,amarilla,22
3,1,28,102,amarilla,29
4,1,16,1348,amarilla,36
5,1,28,1349,amarilla,56
6,1,16,1350,amarilla,78
7,2,50,1351,amarilla,25
8,2,50,1352,amarilla,48
9,3,63,1353,amarilla,56
10,3,73,1354,amarilla,90+4
11,3,73,1355,amarilla,90+6
12,4,36,1356,amarilla,11
13,4,36,1357,amarilla,13
14,4,38,50,amarilla,40
15,4,38,1358,amarilla,45+2
16,4,36,1359,amarilla,51
17,4,36,1360,amarilla,90+10
18,5,3,1361,amarilla,67
19,5,3,1362,amarilla,75
20,5,3,52,amarilla,79
21,5,3,1363,amarilla,82
22,5,3,1364,amarilla,88
23,5,3,1365,amarilla,90+2
24,6,27,1366,amarilla,24
25,6,27,1367,amarilla,78
26,6,81,1368,amarilla,86
27,7,59,1369,amarilla,29
28,7,59,1370,amarilla,56
29,7,67,1371,amarilla,76
30,8,6,77,amarilla,55
31,8,6,1372,amarilla,80
32,8,6,1373,amarilla,90+5
33,9,58,1374,amarilla,78
34,11,22,1375,amarilla,68
35,11,22,255,amarilla,90+7
36,12,12,1376,amarilla,9
37,12,12,238,amarilla,54
38,12,12,1377,amarilla,56
39,12,15,84,amarilla,81
40,12,15,1378,amarilla,83
41,13,14,1379,amarilla,36
42,13,77,1380,amarilla,64
43,13,77,140,amarilla,83
44,14,83,1381,amarilla,57
45,14,21,97,amarilla,88
46,15,39,96,amarilla,45+1
47,15,39,66,amarilla,49
48,15,39,1382,amarilla,57
49,15,68,1383,amarilla,90+1
50,15,39,1384,amarilla,90+1
51,15,68,99,amarilla,90+5
52,16,74,90,amarilla,7
53,16,74,1385,amarilla,49
54,16,74,1386,amarilla,64
55,17,38,1387,amarilla,45+3
56,17,38,1388,roja,86
57,17,50,72,amarilla,90+5
58,17,50,1351,amarilla,90+5
59,18,16,1389,amarilla,20
60,18,73,73,amarilla,30
61,18,16,1390,amarilla,45+2
62,18,73,1391,amarilla,52
63,18,73,1392,amarilla,87
64,18,16,1393,amarilla,90+1
65,19,28,1349,amarilla,57
66,21,81,1394,amarilla,26
67,21,81,1395,amarilla,64
68,21,81,1396,amarilla,90+3
69,22,67,1397,amarilla,15
70,22,67,1398,amarilla,16
71,22,67,1399,amarilla,19
72,22,3,1361,amarilla,20
73,22,3,1400,amarilla,45+4
74,23,27,79,amarilla,20
75,23,27,1401,amarilla,23
76,23,37,1402,amarilla,43
77,24,59,1403,amarilla,22
78,24,5,1404,amarilla,43
79,24,59,1405,amarilla,50
80,24,59,1406,amarilla,66
81,24,59,1407,amarilla,89
82,25,22,1408,amarilla,41
83,25,55,1409,amarilla,44
84,25,22,1410,amarilla,61
85,25,22,1375,amarilla,70
86,25,55,1411,amarilla,84
87,25,55,1412,amarilla,90+3
88,26,12,1377,amarilla,29
89,26,58,1413,amarilla,90+5
90,27,15,1414,amarilla,52
91,27,24,1415,amarilla,56
92,27,15,1416,amarilla,85
93,27,24,7,amarilla,85
94,28,1,1417,amarilla,37
95,28,35,28,amarilla,44
96,28,1,1418,amarilla,58
97,28,1,1419,amarilla,60
98,29,14,1420,amarilla,24
99,29,14,1421,amarilla,30
100,29,74,1422,amarilla,45+4
101,29,74,1423,amarilla,90+3
102,30,39,1424,amarilla,21
103,30,21,1425,amarilla,27
104,30,39,1426,amarilla,73
105,30,21,122,amarilla,77
106,31,77,1427,amarilla,50
107,31,10,294,amarilla,52
108,32,83,1428,amarilla,6
109,32,68,1429,amarilla,38
110,32,83,1430,amarilla,44
111,32,68,67,amarilla,77
112,32,68,1431,amarilla,89
113,33,63,1432,amarilla,52
114,34,73,1355,amarilla,66
115,35,38,1433,amarilla,29
116,35,38,1434,amarilla,61
117,36,36,1435,amarilla,43
118,36,50,1436,amarilla,77
119,36,50,1437,amarilla,83
120,36,50,1438,amarilla,90+6
121,37,6,1439,amarilla,4
122,37,6,1440,amarilla,57
123,37,27,1441,amarilla,75
124,38,81,1442,amarilla,28
125,39,59,1443,amarilla,16
126,39,3,51,amarilla,28
127,39,3,1444,amarilla,34
128,39,3,1445,amarilla,52
129,39,3,1446,amarilla,81
130,39,3,1400,amarilla,90+1
131,39,3,1447,amarilla,90+7
132,40,5,1448,amarilla,49
133,40,67,1449,amarilla,78
134,41,12,1450,amarilla,67
135,42,15,1451,amarilla,7
136,42,15,1452,amarilla,26
137,42,15,1453,amarilla,45+2
138,42,15,1454,amarilla,84
139,43,55,1411,amarilla,39
140,43,55,1455,amarilla,44
141,43,55,1456,amarilla,45
142,44,22,256,amarilla,77
143,45,83,1457,amarilla,20
144,45,83,175,amarilla,60
145,45,39,1458,amarilla,86
146,45,83,1459,amarilla,87
147,45,39,1382,amarilla,90+9
148,45,83,36,amarilla,90+10
149,45,83,155,amarilla,90+10
150,46,21,1460,amarilla,36
151,46,21,123,amarilla,90+2
152,47,77,1461,amarilla,15
153,47,77,1462,amarilla,34
154,47,74,91,amarilla,47
155,47,74,90,amarilla,56
156,47,74,1463,amarilla,66
157,47,74,1385,amarilla,81
158,47,74,92,amarilla,82
159,47,77,180,amarilla,90+5
160,47,74,1423,amarilla,90+5
161,47,77,1464,amarilla,90+9
162,47,74,1386,amarilla,90+10
163,48,14,1465,amarilla,6
164,48,10,1466,amarilla,7
165,48,14,1467,amarilla,28
166,48,14,1379,amarilla,32
167,48,14,93,amarilla,81
168,48,10,1468,amarilla,85
169,48,14,93,amarilla,90+3
170,49,63,1469,amarilla,60
171,49,63,100,amarilla,87
172,50,6,1372,amarilla,15
173,50,6,1440,amarilla,38
174,51,73,103,amarilla,76
175,52,37,144,amarilla,32
176,52,67,1470,amarilla,47
177,52,67,1398,amarilla,88
178,53,24,1471,amarilla,90
179,53,24,1472,amarilla,116
180,54,21,1425,amarilla,44
181,55,35,1473,amarilla,77
182,55,58,82,amarilla,90
183,56,77,1464,amarilla,43
184,56,77,1474,amarilla,59
185,57,5,1448,amarilla,43
186,57,63,1475,amarilla,43
187,57,5,1476,amarilla,45
188,57,63,142,amarilla,45+2
189,57,63,127,amarilla,76
190,57,5,1477,amarilla,76
191,57,63,1478,amarilla,88
192,57,5,1479,amarilla,89
193,57,5,1,amarilla,90+10
194,57,5,1480,amarilla,90+12
195,57,63,1481,amarilla,91
196,57,5,1404,amarilla,109
197,57,5,1482,amarilla,112
198,57,63,130,amarilla,128
199,57,63,1483,amarilla,129
200,57,63,130,amarilla,129
201,58,10,1484,amarilla,25
202,58,24,1485,amarilla,31
203,58,10,98,amarilla,68
204,58,10,1486,amarilla,77
205,58,24,143,amarilla,117
206,59,37,31,amarilla,43
207,59,37,1487,amarilla,46
208,59,37,145,amarilla,82
209,59,46,234,amarilla,90
210,60,58,148,amarilla,70
211,60,68,1488,amarilla,87
212,60,58,1489,amarilla,90+1
213,60,58,1489,amarilla,90+3
214,61,24,1490,amarilla,32
215,61,24,1471,amarilla,32
216,61,5,1476,amarilla,68
217,61,5,1480,amarilla,71
218,62,58,1491,amarilla,27
219,63,58,1492,amarilla,69
220,63,58,1493,amarilla,84
221,64,5,80,amarilla,45+7
222,64,37,54,amarilla,55
223,64,37,1494,amarilla,87
224,64,37,11,amarilla,90+5
225,64,5,1448,amarilla,90+8
226,64,5,1479,amarilla,114
227,64,5,1404,amarilla,116
228,64,5,1495,amarilla,125
229,65,72,154,amarilla,88
230,65,3,1496,amarilla,90+3
231,66,29,1497,amarilla,90+4
232,66,29,1498,amarilla,90+6
233,67,35,28,amarilla,17
234,67,68,99,amarilla,28
235,68,50,1499,amarilla,10
236,68,58,1500,amarilla,34
237,68,50,1351,amarilla,47
238,68,50,1501,amarilla,90+2
239,69,6,106,amarilla,13
240,69,6,1502,amarilla,57
241,69,37,1503,amarilla,76
242,69,6,1439,amarilla,87
243,72,24,178,amarilla,30
244,72,60,1504,amarilla,70
245,72,24,1485,amarilla,89
246,73,77,1505,amarilla,31
247,73,10,98,amarilla,47
248,73,77,1464,amarilla,65
249,73,77,1506,amarilla,68
250,74,22,1375,amarilla,22
251,74,22,1507,amarilla,56
252,74,74,1508,amarilla,59
253,74,74,1509,amarilla,90+8
254,76,21,1510,amarilla,13
255,76,21,123,amarilla,55
256,76,76,1511,amarilla,61
257,77,12,238,amarilla,14
258,77,64,1512,amarilla,18
259,77,64,1513,amarilla,45+2
260,77,64,1514,amarilla,49
261,77,64,1515,amarilla,51
262,77,64,1516,amarilla,57
263,77,12,225,amarilla,59
264,77,12,230,amarilla,88
265,80,19,1517,roja,3
266,80,19,1518,amarilla,64
267,80,19,252,amarilla,86
268,80,55,1519,amarilla,90+4
269,81,29,1520,amarilla,57
270,81,72,1521,amarilla,84
271,83,58,1522,amarilla,40
272,83,68,1523,amarilla,90+2
273,84,50,1524,amarilla,79
274,84,50,1525,amarilla,90+2
275,85,37,277,amarilla,16
276,85,66,202,amarilla,23
277,85,66,1526,amarilla,81
278,85,37,317,amarilla,86
279,86,27,1527,amarilla,37
280,86,27,1528,amarilla,84
281,87,24,177,amarilla,39
282,87,5,219,amarilla,51
283,87,24,223,amarilla,58
284,87,24,1529,amarilla,67
285,87,5,1480,amarilla,85
286,87,5,1448,amarilla,87
287,87,24,1530,amarilla,90+4
288,88,60,1531,amarilla,44
289,90,74,91,amarilla,34
290,90,74,1532,amarilla,39
291,90,74,1533,amarilla,45+2
292,90,74,92,amarilla,87
293,90,77,124,amarilla,90+1
294,91,76,1534,amarilla,52
295,91,1,1535,amarilla,71
296,91,1,1535,amarilla,82
297,91,76,1536,amarilla,90+7
298,93,81,1396,amarilla,14
299,94,64,1514,amarilla,10
300,94,46,1537,amarilla,24
301,94,64,1538,amarilla,44
302,94,64,1515,amarilla,72
303,95,67,218,amarilla,61
304,95,67,1539,amarilla,85
305,96,73,1540,amarilla,59
306,96,55,193,amarilla,68
307,96,73,1541,amarilla,90
308,96,73,1542,amarilla,90+1
309,96,55,1543,amarilla,90+4
310,97,72,151,amarilla,9
311,97,72,1544,amarilla,27
312,97,72,1544,amarilla,36
313,97,83,1428,amarilla,59
314,98,29,1545,amarilla,45+5
315,98,29,1546,amarilla,86
316,100,58,1500,amarilla,21
317,100,58,1547,amarilla,29
318,100,58,1548,amarilla,31
319,100,58,1549,amarilla,31
320,100,58,1550,amarilla,88
321,100,58,1551,amarilla,90+3
322,101,27,222,amarilla,45+3
323,102,6,159,amarilla,10
324,102,66,1552,amarilla,45
325,102,6,1553,amarilla,60
326,102,6,1554,amarilla,66
327,102,66,1555,amarilla,79
328,102,6,1556,amarilla,88
329,103,60,1557,amarilla,32
330,103,5,1558,amarilla,49
331,103,5,1559,amarilla,64
332,103,60,1560,amarilla,90+1
333,103,5,1,amarilla,90+4
334,104,24,1561,amarilla,14
335,104,51,1562,amarilla,59
336,104,51,162,amarilla,64
337,104,24,1563,amarilla,83
338,104,51,1564,amarilla,84
339,105,74,1565,amarilla,33
340,105,74,1533,amarilla,48
341,105,74,92,amarilla,70
342,106,22,1566,amarilla,11
343,106,22,255,amarilla,29
344,106,77,1505,amarilla,37
345,106,77,1567,amarilla,75
346,106,77,1464,amarilla,83
347,106,22,209,amarilla,89
348,107,21,1425,amarilla,9
349,107,21,1568,amarilla,23
350,107,21,1569,amarilla,48
351,107,21,212,amarilla,65
352,108,59,1570,amarilla,1
353,108,76,1536,amarilla,26
354,108,59,1370,amarilla,61
355,108,59,1571,amarilla,86
356,108,76,1572,amarilla,88
357,109,12,1573,amarilla,19
358,109,12,1450,amarilla,33
359,110,81,1396,amarilla,44
360,110,81,1574,amarilla,71
361,110,64,1575,amarilla,78
362,110,64,1576,amarilla,80
363,110,81,1577,amarilla,90+3
364,110,64,1578,amarilla,90+6
365,111,55,1579,amarilla,66
366,112,19,1580,amarilla,45
367,112,73,1540,amarilla,51
368,113,68,2,amarilla,90+3
369,114,5,204,amarilla,11
370,114,5,1581,amarilla,19
371,114,5,1558,amarilla,43
372,114,5,1559,amarilla,50
373,114,37,277,amarilla,72
374,114,37,220,amarilla,73
375,114,5,1480,amarilla,90+3
376,114,37,11,amarilla,90+3
377,115,35,1582,amarilla,40
378,115,72,1583,amarilla,54
379,115,72,1584,amarilla,71
380,116,27,222,amarilla,115
381,118,55,1585,amarilla,40
382,119,76,1572,amarilla,31
383,119,77,1506,amarilla,61
384,119,77,180,amarilla,68
385,119,77,1586,roja,90+4
386,120,19,1518,amarilla,41
387,120,19,1587,amarilla,52
388,120,19,1517,amarilla,54
