cambio_id,partido_id,seleccion_id,jugador_sale_id,jugador_entra_id,minuto
1,1,16,1456,86,72
2,1,16,2869,2870,72
3,1,28,2887,2891,68
4,1,28,18,2890,77
5,1,28,113,2892,90
6,1,28,2889,2893,90
7,2,46,252,2808,70
8,2,46,2908,115,70
9,2,46,55,58,70
10,2,46,54,57,70
11,2,46,22,2909,75
12,2,50,2918,2923,20
13,2,50,2921,2924,46
14,2,50,82,1545,46
15,2,50,1460,2926,46
16,2,50,2920,2925,63
17,2,50,2922,1658,77
18,3,131,2934,1500,62
19,3,131,84,87,69
20,3,131,2933,2936,73
21,3,131,2935,2937,73
22,3,121,2948,138,62
23,3,121,1587,60,79
24,3,121,1585,1576,79
25,3,121,59,2949,90+4
26,4,36,1466,2962,66
27,4,36,1465,2961,74
28,4,36,2959,1469,74
29,4,36,2960,140,74
30,4,36,61,2963,88
31,4,38,1541,2982,46
32,4,38,2974,2981,79
33,4,38,2978,2980,90+3
34,4,38,2977,2979,90+5
35,5,5,2995,122,59
36,5,5,1583,1584,59
37,5,5,1586,91,59
38,5,5,1694,1556,71
39,5,3,212,1473,45+4
40,5,3,63,3006,78
41,5,3,1473,1508,89
42,5,3,3005,3008,89
43,5,3,3003,3007,90+9
44,6,27,1610,3022,45+1
45,6,27,1830,1476,65
46,6,27,3021,1509,65
47,6,27,3019,3023,65
48,6,139,3040,3042,67
49,6,139,3039,1477,80
50,6,139,3038,3041,80
51,6,139,1503,181,88
52,6,139,3036,1550,88
53,7,117,1514,3053,71
54,7,117,119,26,71
55,7,117,3052,3054,84
56,7,125,3067,3068,46
57,7,125,3066,1480,71
58,7,125,89,1507,87
59,8,37,1704,156,13
60,8,37,1593,2800,77
61,8,37,155,3083,77
62,8,37,236,1510,89
63,8,37,11,1600,89
64,8,6,88,3099,56
65,8,6,65,3098,73
66,8,6,3095,3097,73
67,8,6,1481,3096,85
68,8,6,3092,1548,85
69,9,58,3111,3113,60
70,9,58,1597,3115,65
71,9,58,124,3114,81
72,9,58,1598,1521,81
73,9,24,2790,2792,46
74,9,24,96,97,71
75,9,24,1578,98,79
76,9,24,145,160,90
77,10,1,16,3137,67
78,10,1,67,1526,67
79,10,1,130,99,79
80,10,1,3136,301,79
81,10,1,127,3138,90
82,10,55,3150,3153,46
83,10,55,1903,2791,57
84,10,55,144,69,57
85,10,55,126,68,71
86,10,55,3149,2789,75
87,11,35,3163,74,57
88,11,35,72,34,57
89,11,35,37,2802,64
90,11,35,46,3164,64
91,11,35,71,3165,69
92,11,22,3176,226,46
93,11,22,3177,295,61
94,11,22,1516,3180,61
95,11,22,1518,3179,72
96,11,22,3175,3178,82
97,12,12,1485,256,46
98,12,12,1686,1486,46
99,12,12,199,3191,62
100,12,12,75,3192,78
101,12,15,3205,3207,58
102,12,15,1558,3209,58
103,12,15,3203,1560,74
104,12,15,1522,3208,81
105,12,15,3204,1559,81
106,13,135,3222,3223,72
107,13,135,76,281,72
108,13,135,135,3224,72
109,13,135,1569,1535,81
110,13,135,3221,1581,90
111,13,14,3236,3239,68
112,13,14,3237,3240,74
113,13,14,105,104,74
114,13,14,3238,3241,81
115,14,141,24,45,64
116,14,141,3252,3257,79
117,14,141,1538,3256,79
118,14,141,3254,3255,88
119,14,21,3271,1567,74
120,14,21,3272,108,74
121,14,21,1681,3273,74
122,15,126,3286,3289,56
123,15,126,1537,79,77
124,15,126,78,3290,88
125,15,126,2,149,88
126,15,126,3287,3288,88
127,15,39,1491,1534,66
128,15,39,107,80,77
129,15,39,77,1780,77
130,15,39,3300,3304,90+2
131,15,39,3302,3303,90+2
132,16,10,147,313,75
133,16,10,146,2798,75
134,16,10,12,3318,79
135,16,10,81,3317,79
136,16,10,3316,3319,87
137,16,132,3329,3334,57
138,16,132,1494,3333,57
139,16,132,3328,136,66
140,16,132,1495,3332,66
141,16,132,103,3331,83
142,17,38,2976,2981,57
143,17,38,2978,1541,57
144,17,38,2977,2989,77
145,17,38,1542,2983,87
146,17,50,1658,214,68
147,17,50,1657,2925,77
148,17,50,2922,82,77
149,17,50,2926,1460,77
150,17,50,2924,2921,83
151,18,16,1457,2868,69
152,18,16,2869,86,74
153,18,16,2864,2870,83
154,18,16,1499,2873,83
155,18,131,2935,1501,64
156,18,131,112,2946,74
157,18,131,85,87,74
158,18,131,1500,2932,78
159,18,131,1463,2944,78
160,19,121,1587,138,46
161,19,121,60,1585,69
162,19,121,59,153,79
163,19,121,1576,2949,79
164,19,28,2889,2891,74
165,19,28,18,2893,90
166,19,28,2888,2887,90
167,20,46,55,58,68
168,20,46,53,143,68
169,20,46,54,57,77
170,20,36,1465,2967,77
171,20,36,1466,2962,77
172,20,36,140,2960,83
173,20,36,61,2972,83
174,21,139,3036,181,46
175,21,139,1503,118,67
176,21,139,3039,1477,73
177,21,139,200,1550,73
178,21,6,88,3109,64
179,21,6,3095,3106,64
180,21,6,3102,1548,75
181,21,6,117,3096,85
182,21,6,65,3097,85
183,22,125,89,3065,63
184,22,125,1507,3079,71
185,22,3,3012,1473,46
186,22,3,3007,3006,65
187,22,3,63,3013,85
188,22,3,1470,3015,85
189,22,3,1473,1555,90+5
190,23,37,11,1600,63
191,23,37,246,3082,75
192,23,37,1593,2800,75
193,23,37,40,3083,90+2
194,23,27,1509,3031,46
195,23,27,3022,3021,73
196,23,27,3023,3030,85
197,23,27,1475,3029,90+2
198,24,5,3001,91,57
199,24,5,1512,152,63
200,24,5,2797,122,63
201,24,5,121,2999,69
202,24,5,31,1583,69
203,24,117,316,1513,42
204,24,117,3059,26,66
205,24,117,3052,3054,66
206,24,117,177,1515,73
207,25,55,1903,3155,46
208,25,55,3159,69,46
209,25,55,1517,2791,62
210,25,55,68,3151,67
211,25,55,3157,2789,82
212,25,22,3184,3179,65
213,25,22,1516,3177,65
214,25,22,1518,3185,89
215,25,22,274,3183,90+5
216,26,12,199,179,60
217,26,12,1486,1686,60
218,26,12,3198,3191,75
219,26,12,75,3200,75
220,26,12,256,180,81
221,26,58,1664,1521,68
222,26,58,1599,3113,68
223,26,58,1597,94,73
224,26,58,124,3114,73
225,26,58,1598,3117,78
226,27,24,97,154,60
227,27,24,96,2790,72
228,27,24,145,160,86
229,27,24,1578,98,86
230,27,24,7,2792,86
231,27,15,3204,3207,46
232,27,15,3209,1559,46
233,27,15,3203,1558,62
234,27,15,3206,3218,72
235,27,15,3205,1560,72
236,28,35,72,34,54
237,28,35,73,3165,66
238,28,35,71,2802,66
239,28,35,46,3164,82
240,28,1,1525,3142,70
241,28,1,16,99,70
242,28,1,67,3146,70
243,28,1,127,3137,85
244,28,1,3133,3135,87
245,29,14,3236,104,55
246,29,14,3237,1529,67
247,29,14,1574,3239,67
248,29,14,3234,3235,81
249,29,14,3238,3240,81
250,29,132,101,3337,55
251,29,132,3329,3334,78
252,29,132,102,3341,78
253,29,132,3327,3338,78
