partido_id,seleccion_id,entrenador_id
1,16,9
1,28,14
2,46,20
2,50,21
3,131,28
3,121,25
4,36,16
4,38,18
5,5,3
5,3,2
6,27,13
6,139,31
7,117,24
7,125,26
8,37,17
8,6,4
9,58,23
9,24,12
10,1,1
10,55,22
11,35,15
11,22,11
12,12,5
12,15,8
13,135,30
13,14,7
14,141,32
14,21,10
15,126,27
15,39,19
16,10,6
16,132,29
17,38,18
17,50,21
18,16,9
18,131,28
19,121,25
19,28,14
20,46,20
20,36,16
21,139,31
21,6,4
22,125,26
22,3,2
23,37,17
23,27,13
24,5,3
24,117,24
25,55,22
25,22,11
26,12,5
26,58,23
27,24,12
27,15,8
28,35,15
28,1,1
29,14,7
29,132,29
30,21,10
30,39,19
31,10,6
31,135,30
32,126,27
32,141,32
33,121,25
33,16,9
34,28,14
34,131,28
35,38,18
35,46,20
36,50,21
36,36,16
37,6,4
37,27,13
38,139,31
38,37,17
39,3,2
39,117,24
40,125,26
40,5,3
41,24,12
41,12,5
42,15,8
42,58,23
43,55,22
43,35,15
44,22,11
44,1,1
45,39,19
45,141,32
46,21,10
46,126,27
47,132,29
47,135,30
48,14,7
48,10,6
49,121,25
49,36,16
50,5,3
50,6,4
51,46,20
51,131,28
52,37,17
52,125,26
53,55,22
53,24,12
54,10,6
54,21,10
55,58,23
55,35,15
56,126,27
56,135,30
57,121,25
57,5,3
58,24,12
58,10,6
59,46,20
59,37,17
60,58,23
60,126,27
61,5,3
61,24,12
62,37,17
62,58,23
63,24,12
63,58,23
64,5,3
64,37,17
65,130,50
65,3,34
66,29,41
66,141,55
67,126,27
67,35,42
68,58,2
68,50,21
69,37,17
69,6,36
70,124,48
70,27,40
71,5,35
71,51,43
72,24,12
72,118,46
73,10,6
73,135,53
74,22,39
74,132,51
75,1,33
75,117,45
76,134,52
76,21,38
77,12,5
77,122,47
78,139,54
78,46,20
79,125,49
79,131,28
80,19,37
80,55,44
81,130,50
81,29,41
82,141,55
82,3,34
83,126,27
83,58,2
84,50,21
84,35,42
85,37,17
85,124,48
86,27,40
86,6,36
87,5,35
87,24,12
88,118,46
88,51,43
89,10,6
89,22,39
90,132,51
90,135,53
91,1,33
91,134,52
92,21,38
92,117,45
93,12,5
93,139,54
94,46,20
94,122,47
95,125,49
95,19,37
96,55,44
96,131,28
97,141,55
97,130,50
98,3,34
98,29,41
99,50,21
99,126,27
100,35,42
100,58,2
101,27,40
101,37,17
102,6,36
102,124,48
103,118,46
103,5,35
104,51,43
104,24,12
105,132,51
105,10,6
