entrenador_id,nombre
1,Hansi Flick
2,Herve Renard
3,Lionel Scaloni
4,Arnold Graham
5,Roberto Martinez
6,Tite
7,Rigobert Song
8,John Herdman
9,Félix Sánches
10,Paulo Bento
11,Luis Fernando Suarez
12,Zlatko Dalic
13,Kasper Hjulmand
14,Gustavo Alfaro
15,Luis Enrique
16,Gregg Berhalter
17,Didier Deschamps
18,Rob Page
19,Otto Addo
20,Gareth Southgate
21,Carlos Queiroz
22,Hajime Moriyasu
23,Walid Regragui
24,Gerardo Martino
25,Louis Van Gaal
26,Czeslaw Michniewicz
27,Fernando Santos
28,Aliou Cisse
29,Dragan Stojković
30,Murat Yakin
31,Jalel Kadri
32,Diego Alonso
33,Joachim Löw
34,Juan Antonio Pizzi
35,Jorge Sampaoli
36,Bert Van Marwijk
37,Jose Pekerman
38,Tae-Yong Shin
39,Oscar Ramírez
40,Age Hareide
41,Héctor Cúper
42,Fernando Hierro
43,Heimir Hallgrimsson
44,Akira Nishino
45,Juan Carlos Osorio
46,Gernot Rohr
47,Hernan Gomez
48,Ricardo Gareca
49,Adam Nawalka
50,Stanislav Cherchesov
51,Mladen Krstajic
52,Janne Andersson
53,Vladimir Petkovic
54,Nabil Maaloul
55,Óscar Tabárez
56,Vahid Halilhodzic
57,Alejandro Sabella
58,Ange Postecoglou
59,Marc Wilmots
60,Safet Susic
61,Luiz Felipe Scolari
62,Volker Finke
63,Myung-Bo Hong
64,Sabri Lamouchi
65,Jorge Luis Pinto
66,Niko Kovac
67,Reinaldo Rueda
68,Vicente Del Bosque
69,Juergen Klinsmann
70,Kwesi Appiah
71,Roy Hodgson
72,Cesare Prandelli
73,Alberto Zaccheroni
74,Miguel Herrera
75,Stephen Keshi
76,Fabio Capello
77,Ottmar Hitzfeld
78,Rabah Saadane
79,Diego Maradona
80,Pim Verbeek
81,Dunga
82,Paul Le Guen
83,Marcelo Bielsa
84,Jong Hun Kim
85,Jung Moo Huh
86,Sven Göran Eriksson
87,Morten Olsen
88,Vladimir Weiss
89,Matjaz Kek
90,Bob Bradley
91,Raymond Domenech
92,Milovan Rajevac
93,Otto Rehhagel
94,Marcello Lippi
95,Takeshi Okada
96,Javier Aguirre
