anio,grupo,posicion,seleccion,pts,pj,pg,pe,pp,gf,gc,dif,clasificado
2026,A,0,Corea del Sur,0,0,0,0,0,0,0,0,False
2026,A,0,México,0,0,0,0,0,0,0,0,False
2026,A,0,Sudáfrica,0,0,0,0,0,0,0,0,False
2026,B,0,Canadá,0,0,0,0,0,0,0,0,False
2026,B,0,Catar,0,0,0,0,0,0,0,0,False
2026,B,0,Suiza,0,0,0,0,0,0,0,0,False
2026,C,0,Brasil,0,0,0,0,0,0,0,0,False
2026,C,0,Escocia,0,0,0,0,0,0,0,0,False
2026,C,0,Haití,0,0,0,0,0,0,0,0,False
2026,C,0,Marruecos,0,0,0,0,0,0,0,0,False
2026,D,0,Australia,0,0,0,0,0,0,0,0,False
2026,D,0,Estados Unidos,0,0,0,0,0,0,0,0,False
2026,D,0,Paraguay,0,0,0,0,0,0,0,0,False
2026,E,0,Alemania,0,0,0,0,0,0,0,0,False
2026,E,0,Costa de Marfil,0,0,0,0,0,0,0,0,False
2026,E,0,Curazao,0,0,0,0,0,0,0,0,False
2026,E,0,Ecuador,0,0,0,0,0,0,0,0,False
2026,F,0,Japón,0,0,0,0,0,0,0,0,False
2026,F,0,Paises Bajos,0,0,0,0,0,0,0,0,False
2026,F,0,Túnez,0,0,0,0,0,0,0,0,False
2026,G,0,Bélgica,0,0,0,0,0,0,0,0,False
2026,G,0,Egipto,0,0,0,0,0,0,0,0,False
2026,G,0,Irán,0,0,0,0,0,0,0,0,False
2026,G,0,Nueva Zelanda,0,0,0,0,0,0,0,0,False
2026,H,0,Arabia Saudita,0,0,0,0,0,0,0,0,False
2026,H,0,Cabo Verde,0,0,0,0,0,0,0,0,False
2026,H,0,España,0,0,0,0,0,0,0,0,False
2026,H,0,Uruguay,0,0,0,0,0,0,0,0,False
2026,I,0,Francia,0,0,0,0,0,0,0,0,False
2026,I,0,Noruega,0,0,0,0,0,0,0,0,False
2026,I,0,Senegal,0,0,0,0,0,0,0,0,False
2026,J,0,Argelia,0,0,0,0,0,0,0,0,False
2026,J,0,Argentina,0,0,0,0,0,0,0,0,False
2026,J,0,Austria,0,0,0,0,0,0,0,0,False
2026,J,0,Jordania,0,0,0,0,0,0,0,0,False
2026,K,0,Colombia,0,0,0,0,0,0,0,0,False
2026,K,0,Portugal,0,0,0,0,0,0,0,0,False
2026,K,0,Uzbekistán,0,0,0,0,0,0,0,0,False
2026,L,0,Croacia,0,0,0,0,0,0,0,0,False
2026,L,0,Ghana,0,0,0,0,0,0,0,0,False
2026,L,0,Inglaterra,0,0,0,0,0,0,0,0,False
2026,L,0,Panamá,0,0,0,0,0,0,0,0,False
2022,A,1,Paises Bajos,7,3,2,1,0,5,1,4,True
2022,A,2,Senegal,6,3,2,0,1,5,4,1,True
2022,A,3,Ecuador,4,3,1,1,1,4,3,1,False
2022,A,4,Catar,0,3,0,0,3,1,7,-6,False
2022,B,1,Inglaterra,7,3,2,1,0,9,2,7,True
2022,B,2,Estados Unidos,5,3,1,2,0,2,1,1,True
2022,B,3,Irán,3,3,1,0,2,4,7,-3,False
