anio,seleccion_id,posicion,etapa,pts,pj,pg,pe,pp,gf,gc,dif,participo
1950,1,,no participo,,,,,,,,,f
1954,1,,no participo,,,,,,,,,f
1958,1,,no participo,,,,,,,,,f
1962,1,,no participo,,,,,,,,,f
1966,1,,no participo,,,,,,,,,f
1970,1,,no participo,,,,,,,,,f
1974,1,6,Grupos 2da Ronda,6,6,2,2,2,5,5,0,t
1978,1,,no participo,,,,,,,,,f
1982,1,,no participo,,,,,,,,,f
1986,1,,no participo,,,,,,,,,f
1990,1,,no participo,,,,,,,,,f
1994,1,,no participo,,,,,,,,,f
1998,1,,no participo,,,,,,,,,f
2002,1,,no participo,,,,,,,,,f
2006,1,,no participo,,,,,,,,,f
2010,1,,no participo,,,,,,,,,f
2014,1,,no participo,,,,,,,,,f
2018,1,,no participo,,,,,,,,,f
2022,1,,no participo,,,,,,,,,f
2026,1,,no participo,,,,,,,,,f
1930,1,,no participo,,,,,,,,,f
1934,1,3,Partido 3er Puesto,6,4,3,0,1,11,8,3,t
1938,1,10,Octavos de Final,1,2,0,1,1,3,5,-2,t
1930,2,,no participo,,,,,,,,,f
1934,2,,no participo,,,,,,,,,f
1938,2,,no participo,,,,,,,,,f
1950,2,,no participo,,,,,,,,,f
1954,2,,no participo,,,,,,,,,f
1958,2,,no participo,,,,,,,,,f
1962,2,,no participo,,,,,,,,,f
1966,2,,no participo,,,,,,,,,f
1970,2,,no participo,,,,,,,,,f
1974,2,,no participo,,,,,,,,,f
1978,2,,no participo,,,,,,,,,f
1982,2,,no participo,,,,,,,,,f
1986,2,,no participo,,,,,,,,,f
1990,2,,no participo,,,,,,,,,f
1994,2,,no participo,,,,,,,,,f
1998,2,,no participo,,,,,,,,,f
2002,2,,no participo,,,,,,,,,f
2006,2,23,Grupos 1ra Ronda,2,3,0,2,1,1,2,-1,t
2010,2,,no participo,,,,,,,,,f
2014,2,,no participo,,,,,,,,,f
2018,2,,no participo,,,,,,,,,f
2022,2,,no participo,,,,,,,,,f
2026,2,,no participo,,,,,,,,,f
1930,3,,no participo,,,,,,,,,f
1934,3,,no participo,,,,,,,,,f
1938,3,,no participo,,,,,,,,,f
1950,3,,no participo,,,,,,,,,f
1954,3,,no participo,,,,,,,,,f
1958,3,,no participo,,,,,,,,,f
1962,3,,no participo,,,,,,,,,f
1966,3,,no participo,,,,,,,,,f
1970,3,,no participo,,,,,,,,,f
1974,3,,no participo,,,,,,,,,f
1978,3,,no participo,,,,,,,,,f
1982,3,,no participo,,,,,,,,,f
1986,3,,no participo,,,,,,,,,f
1990,3,,no participo,,,,,,,,,f
1994,3,12,Octavos de Final,6,4,2,0,2,5,6,-1,t
1998,3,28,Grupos 1ra Ronda,1,3,0,1,2,2,7,-5,t
2002,3,32,Grupos 1ra Ronda,0,3,0,0,3,0,12,-12,t
2006,3,28,Grupos 1ra Ronda,1,3,0,1,2,2,7,-5,t
2010,3,,no participo,,,,,,,,,f
2014,3,,no participo,,,,,,,,,f
2018,3,26,Grupos 1ra Ronda,3,3,1,0,2,2,7,-5,t
2022,3,25,Grupos 1ra Ronda,3,3,1,0,2,3,5,-2,t
2026,3,,clasificado,0,0,0,0,0,0,0,0,t
1930,4,,no participo,,,,,,,,,f
1934,4,,no participo,,,,,,,,,f
1938,4,,no participo,,,,,,,,,f
1950,4,,no participo,,,,,,,,,f
1954,4,,no participo,,,,,,,,,f
1958,4,,no participo,,,,,,,,,f
1962,4,,no participo,,,,,,,,,f
1966,4,,no participo,,,,,,,,,f
1970,4,,no participo,,,,,,,,,f
1974,4,,no participo,,,,,,,,,f
1978,4,,no participo,,,,,,,,,f
1982,4,13,Grupos 1ra Ronda,4,3,2,0,1,5,5,0,t
1986,4,22,Grupos 1ra Ronda,1,3,0,1,2,1,5,-4,t
1990,4,,no participo,,,,,,,,,f
1994,4,,no participo,,,,,,,,,f
1998,4,,no participo,,,,,,,,,f
2002,4,,no participo,,,,,,,,,f
2006,4,,no participo,,,,,,,,,f
2010,4,28,Grupos 1ra Ronda,1,3,0,1,2,0,2,-2,t
2014,4,14,Octavos de Final,4,4,1,1,2,7,7,0,t
2018,4,,no participo,,,,,,,,,f
2022,4,,no participo,,,,,,,,,f
2026,4,,clasificado,0,0,0,0,0,0,0,0,t
1930,5,2,Final,8,5,4,0,1,18,9,9,t
1934,5,9,Octavos de Final,0,1,0,0,1,2,3,-1,t
1938,5,,no participo,,,,,,,,,f
1950,5,,no participo,,,,,,,,,f
1954,5,,no participo,,,,,,,,,f
1958,5,13,Grupos 1ra Ronda,2,3,1,0,2,5,10,-5,t
1962,5,10,Grupos 1ra Ronda,3,3,1,1,1,2,3,-1,t
1966,5,5,Cuartos de Final,5,4,2,1,1,4,2,2,t
1970,5,,no participo,,,,,,,,,f
1974,5,8,Grupos 2da Ronda,4,6,1,2,3,9,12,-3,t
1978,5,1,Final,11,7,5,1,1,15,4,11,t
1982,5,11,Grupos 2da Ronda,4,5,2,0,3,8,7,1,t
1986,5,1,Final,13,7,6,1,0,14,5,9,t
1990,5,2,Final,7,7,2,3,2,5,4,1,t
1994,5,10,Octavos de Final,6,4,2,0,2,8,6,2,t
1998,5,6,Cuartos de Final,10,5,3,1,1,10,4,6,t
2002,5,18,Grupos 1ra Ronda,4,3,1,1,1,2,2,0,t
2006,5,6,Cuartos de Final,11,5,3,2,0,11,3,8,t
2010,5,5,Cuartos de Final,12,5,4,0,1,10,6,4,t
2014,5,2,Final,16,7,5,1,1,8,4,4,t
2018,5,16,Octavos de Final,4,4,1,1,2,6,9,-3,t
2022,5,1,Final,14,7,4,2,1,15,8,7,t
2026,5,,clasificado,0,0,0,0,0,0,0,0,t
1930,6,,no participo,,,,,,,,,f
1934,6,,no participo,,,,,,,,,f
1938,6,,no participo,,,,,,,,,f
1950,6,,no participo,,,,,,,,,f
1954,6,,no participo,,,,,,,,,f
1958,6,,no participo,,,,,,,,,f
1962,6,,no participo,,,,,,,,,f
1966,6,,no participo,,,,,,,,,f
1970,6,,no participo,,,,,,,,,f
1974,6,14,Grupos 1ra Ronda,1,3,0,1,2,0,5,-5,t
1978,6,,no participo,,,,,,,,,f
1982,6,,no participo,,,,,,,,,f
1986,6,,no participo,,,,,,,,,f
1990,6,,no participo,,,,,,,,,f
1994,6,,no participo,,,,,,,,,f
1998,6,,no participo,,,,,,,,,f
2002,6,,no participo,,,,,,,,,f
2006,6,16,Octavos de Final,4,4,1,1,2,5,6,-1,t
2010,6,21,Grupos 1ra Ronda,4,3,1,1,1,3,6,-3,t
2014,6,30,Grupos 1ra Ronda,0,3,0,0,3,3,9,-6,t
2018,6,30,Grupos 1ra Ronda,1,3,0,1,2,2,5,-3,t
2022,6,11,Octavos de Final,6,4,2,0,2,4,6,-2,t
2026,6,,clasificado,0,0,0,0,0,0,0,0,t
1930,7,,no participo,,,,,,,,,f
1934,7,4,Partido 3er Puesto,4,4,2,0,2,7,7,0,t
1938,7,16,Octavos de Final,0,0,0,0,0,0,0,0,t
1950,7,,no participo,,,,,,,,,f
1954,7,3,Partido 3er Puesto,8,5,4,0,1,17,12,5,t
1958,7,15,Grupos 1ra Ronda,1,3,0,1,2,2,7,-5,t
1962,7,,no participo,,,,,,,,,f
1966,7,,no participo,,,,,,,,,f
1970,7,,no participo,,,,,,,,,f
1974,7,,no participo,,,,,,,,,f
1978,7,7,Grupos 2da Ronda,6,6,3,0,3,7,10,-3,t
1982,7,8,Grupos 2da Ronda,5,5,2,1,2,5,4,1,t
1986,7,,no participo,,,,,,,,,f
1990,7,18,Grupos 1ra Ronda,2,3,1,0,2,2,3,-1,t
1994,7,,no participo,,,,,,,,,f
1998,7,23,Grupos 1ra Ronda,2,3,0,2,1,3,4,-1,t
2002,7,,no participo,,,,,,,,,f
2006,7,,no participo,,,,,,,,,f
2010,7,,no participo,,,,,,,,,f
2014,7,,no participo,,,,,,,,,f
2018,7,,no participo,,,,,,,,,f
2022,7,,no participo,,,,,,,,,f
2026,7,,clasificado,0,0,0,0,0,0,0,0,t
1930,12,11,Grupos 1ra Ronda,0,2,0,0,2,0,4,-4,t
1934,12,15,Octavos de Final,0,1,0,0,1,2,5,-3,t
1938,12,13,Octavos de Final,0,1,0,0,1,1,3,-2,t
1950,12,,no participo,,,,,,,,,f
1954,12,12,Grupos 1ra Ronda,1,2,0,1,1,5,8,-3,t
1958,12,,no participo,,,,,,,,,f
