penal_id,partido_id,seleccion_id,orden,jugador_id,resultado
1,53,55,1,2785,atajado
2,53,24,1,2786,gol
3,53,55,2,2787,atajado
4,53,24,2,1590,gol
5,53,55,3,70,gol
6,53,24,3,98,poste
7,53,55,4,1562,atajado
8,53,24,4,2788,gol
9,55,58,1,1520,gol
10,55,35,1,2789,poste
11,55,58,2,124,gol
12,55,35,2,75,atajado
13,55,58,3,2790,atajado
14,55,35,3,37,atajado
15,55,58,4,1663,gol
16,57,121,1,2791,atajado
17,57,5,1,1,gol
18,57,121,2,1584,atajado
19,57,5,2,1585,gol
20,57,121,3,1575,gol
21,57,5,3,1511,gol
22,57,121,4,154,gol
23,57,5,4,92,desviado
24,57,121,5,2792,gol
25,57,5,5,2793,gol
26,58,24,1,2786,gol
27,58,10,1,2794,atajado
28,58,24,2,99,gol
29,58,10,2,110,gol
30,58,24,3,7,gol
31,58,10,3,2795,gol
32,58,24,4,161,gol
33,58,10,4,1591,poste
34,64,5,1,1,gol
35,64,37,1,3,gol
36,64,5,2,17,gol
37,64,37,2,2796,atajado
38,64,5,3,1585,gol
39,64,37,3,156,desviado
40,64,5,4,1511,gol
41,64,37,4,158,gol
42,115,35,1,400,gol
43,115,130,1,1629,gol
44,115,35,2,1694,gol
45,115,130,2,2797,gol
46,115,35,3,2798,atajado
47,115,130,3,165,gol
48,115,35,4,1757,gol
49,115,130,4,163,gol
50,115,35,5,218,atajado
51,116,24,1,223,atajado
52,116,27,1,191,atajado
53,116,24,2,97,gol
54,116,27,2,1829,gol
55,116,24,3,7,gol
56,116,27,3,2799,gol
57,116,24,4,1708,atajado
58,116,27,4,2800,atajado
59,116,24,5,193,gol
60,116,27,5,2801,atajado
61,120,19,1,206,gol
62,120,46,1,22,gol
63,120,19,2,207,gol
64,120,46,2,57,gol
65,120,19,3,2802,gol
66,120,46,3,144,atajado
67,120,19,4,2803,travesaño
68,120,46,4,256,gol
69,120,19,5,1702,atajado
70,120,46,5,2804,gol
71,123,130,1,1629,atajado
72,123,24,1,1590,gol
73,123,130,2,2805,gol
74,123,24,2,1577,atajado
75,123,130,3,252,desviado
76,123,24,3,7,gol
77,123,130,4,2797,gol
78,123,24,4,251,gol
79,123,130,5,2806,gol
80,123,24,5,193,gol
81,177,10,1,332,gol
82,177,17,1,1791,atajado
83,177,10,2,2807,desviado
84,177,17,2,267,atajado
85,177,10,3,2808,gol
86,177,17,3,294,gol
87,177,10,4,1789,atajado
88,177,17,4,2809,gol
89,177,10,5,12,gol
90,177,17,5,2810,poste
91,180,22,1,1517,gol
92,180,40,1,2811,gol
93,180,22,2,296,gol
94,180,40,2,2812,gol
95,180,22,3,1768,gol
96,180,40,3,2813,gol
97,180,22,4,275,gol
98,180,40,4,2814,atajado
99,180,22,5,1801,gol
100,187,121,1,264,gol
101,187,22,1,1517,gol
102,187,121,2,265,gol
103,187,22,2,296,atajado
104,187,121,3,334,gol
105,187,22,3,1768,gol
106,187,121,4,353,gol
107,187,22,4,2815,gol
108,187,22,5,1801,atajado
109,190,121,1,2816,atajado
110,190,5,1,1,gol
111,190,121,2,265,gol
112,190,5,2,1795,gol
113,190,121,3,334,atajado
114,190,5,3,29,gol
115,190,121,4,353,gol
116,190,5,4,442,gol
117,247,123,1,2000,gol
118,247,55,1,394,gol
119,247,123,2,2817,gol
120,247,55,2,1652,gol
121,247,123,3,1917,gol
122,247,55,3,2818,travesaño
123,247,123,4,1937,gol
124,247,55,4,211,gol
125,247,123,5,2819,gol
126,250,141,1,50,gol
127,250,39,1,303,gol
128,250,141,2,1808,gol
129,250,39,2,477,gol
130,250,141,3,2820,gol
131,250,39,3,1910,atajado
132,250,141,4,409,desviado
133,250,39,4,2821,atajado
134,250,141,5,2135,gol
135,310,135,1,1964,atajado
136,310,140,1,457,atajado
137,310,135,2,452,travesaño
138,310,140,2,2822,gol
139,310,135,3,1966,atajado
140,310,140,3,456,gol
141,310,140,4,2823,gol
142,313,1,1,438,gol
143,313,5,1,2087,gol
144,313,1,2,504,gol
145,313,5,2,492,atajado
146,313,1,3,350,gol
147,313,5,3,442,gol
148,313,1,4,2037,gol
149,313,5,4,443,atajado
150,315,46,1,1993,atajado
151,315,126,1,377,gol
152,315,46,2,2044,gol
153,315,126,2,2824,poste
154,315,46,3,348,atajado
155,315,126,3,2083,desviado
156,315,46,4,1816,atajado
157,315,126,4,2825,gol
158,315,126,5,2,gol
159,320,53,1,424,gol
160,320,37,1,2826,gol
161,320,53,2,474,gol
162,320,37,2,621,travesaño
163,320,53,3,355,gol
164,320,37,3,1845,gol
165,320,53,4,496,gol
166,320,37,4,1967,gol
167,320,53,5,495,gol
168,379,35,1,517,gol
169,379,21,1,526,gol
170,379,35,2,2142,gol
171,379,21,2,347,gol
172,379,35,3,1933,gol
173,379,21,3,581,gol
174,379,35,4,2827,atajado
175,379,21,4,433,gol
176,379,21,5,682,gol
177,439,5,1,2828,gol
178,439,46,1,614,gol
179,439,5,2,418,atajado
180,439,46,2,2347,atajado
181,439,5,3,2348,gol
182,439,46,3,2829,gol
183,439,5,4,2830,gol
184,439,46,4,578,gol
185,439,5,5,492,gol
186,439,46,5,2831,atajado
187,441,53,1,596,gol
188,441,37,1,33,gol
189,441,53,2,2436,atajado
190,441,37,2,622,atajado
191,441,53,3,2270,gol
192,441,37,3,621,gol
193,441,53,4,520,gol
194,441,37,4,450,gol
195,441,53,5,620,travesaño
196,441,37,5,670,gol
197,445,10,1,4,gol
198,445,121,1,2391,gol
199,445,10,2,519,gol
200,445,121,2,627,gol
201,445,10,3,1960,gol
202,445,121,3,625,atajado
203,445,10,4,2473,gol
204,445,121,4,629,atajado
205,492,117,1,630,desviado
206,492,11,1,2451,atajado
207,492,117,2,728,atajado
208,492,11,2,2832,gol
209,492,117,3,2833,atajado
210,492,11,3,720,gol
211,492,117,4,2383,gol
212,492,11,4,719,gol
213,496,129,1,687,gol
214,496,134,1,745,desviado
215,496,129,2,688,gol
216,496,134,2,731,gol
217,496,129,3,2398,gol
218,496,134,3,713,gol
219,496,129,4,639,atajado
220,496,134,4,2475,gol
221,496,129,5,741,gol
222,496,134,5,2460,gol
223,496,129,6,2399,atajado
224,496,134,6,463,gol
225,500,10,1,711,atajado
226,500,53,1,2834,desviado
227,500,10,2,695,gol
228,500,53,2,2436,gol
229,500,10,3,744,gol
230,500,53,3,2835,gol
231,500,10,4,2473,gol
232,500,53,4,727,atajado
233,500,53,5,596,desviado
234,541,48,1,759,gol
235,541,129,1,688,gol
236,541,48,2,686,gol
237,541,129,2,2545,gol
238,541,48,3,2836,gol
239,541,129,3,2837,gol
240,541,48,4,2838,gol
241,541,129,4,2398,gol
242,541,48,5,2839,gol
243,541,129,5,2840,atajado
244,545,5,1,2496,gol
245,545,143,1,633,travesaño
246,545,5,2,764,gol
247,545,143,2,608,gol
248,545,5,3,9,atajado
249,545,143,3,2841,gol
250,545,5,4,763,poste
251,545,143,4,2518,atajado
252,545,5,5,2561,gol
253,545,143,5,2842,atajado
254,549,53,1,2834,gol
255,549,5,1,2496,gol
256,549,53,2,596,gol
257,549,5,2,764,gol
258,549,53,3,2556,gol
259,549,5,3,2554,gol
260,549,53,4,2843,atajado
261,549,5,4,9,gol
262,549,53,5,805,atajado
263,550,46,1,758,gol
264,550,1,1,803,gol
265,550,46,2,869,gol
266,550,1,2,23,gol
267,550,46,3,806,gol
268,550,1,3,726,gol
269,550,46,4,2559,atajado
270,550,1,4,2844,gol
271,550,46,5,2845,desviado
272,597,117,1,864,gol
273,597,1,1,828,gol
274,597,117,2,821,atajado
275,597,1,2,803,gol
276,597,117,3,865,atajado
277,597,1,3,23,gol
278,597,1,4,784,gol
279,598,10,1,810,atajado
280,598,37,1,847,gol
281,598,10,2,2846,gol
282,598,37,2,873,gol
283,598,10,3,906,gol
284,598,37,3,2847,gol
285,598,10,4,744,gol
286,598,37,4,868,desviado
287,598,10,5,1799,poste
288,598,37,5,831,gol
289,599,12,1,840,gol
290,599,35,1,870,gol
291,599,12,2,774,gol
292,599,35,2,861,atajado
