anio,seleccion,seleccion_slug,jugador,jugador_slug,posicion,camiseta,fecha_nacimiento,altura,club,rol
2022,Alemania,alemania,Manuel Neuer,manuel_neuer,AR,1,27-Mar-1986,"1.93 m / 6' 4""",Bayern Munich (ALE),jugador
2022,Alemania,alemania,Kevin Trapp,kevin_trapp,AR,12,08-Jul-1990,"1.89 m / 6' 2""",Eintracht Frankfurt (ALE),jugador
2022,Alemania,alemania,Marc-André ter Stegen,marc_andre_ter_stegen,AR,22,30-Apr-1992,"1.87 m / 6' 2""",FC Barcelona (ESP),jugador
2022,Alemania,alemania,Antonio Rüdiger,antonio_rudiger,DF,2,03-Mar-1993,"1.90 m / 6' 3""",Real Madrid CF (ESP),jugador
2022,Alemania,alemania,David Raum,david_raum,DF,3,22-Apr-1998,"1.80 m / 5' 11""",RB Leipzig (ALE),jugador
2022,Alemania,alemania,Matthias Ginter,matthias_ginter,DF,4,19-Ene-1994,"1.89 m / 6' 2""",SC Freiburg (ALE),jugador
2022,Alemania,alemania,Thilo Kehrer,thilo_kehrer,DF,5,21-Sep-1996,"1.86 m / 6' 1""",West Ham United (ING),jugador
2022,Alemania,alemania,Niklas Süle,niklas_sule,DF,15,03-Sep-1995,"1.95 m / 6' 5""",Borussia Dortmund (ALE),jugador
2022,Alemania,alemania,Lukas Klostermann,lukas_klostermann,DF,16,03-Jun-1996,"1.87 m / 6' 2""",RB Leipzig (ALE),jugador
2022,Alemania,alemania,Christian Günter,christian_gunter,DF,20,28-Feb-1993,"1.84 m / 6' 0""",SC Freiburg (ALE),jugador
2022,Alemania,alemania,Nico Schlotterbeck,nico_schlotterbeck,DF,23,01-Dic-1999,"1.91 m / 6' 3""",Borussia Dortmund (ALE),jugador
2022,Alemania,alemania,Armel Bella-Kotchap,armel_bella_kotchap,DF,25,11-Dic-2001,"1.90 m / 6' 3""",Southampton (ING),jugador
2022,Alemania,alemania,Joshua Kimmich,joshua_kimmich,MC,6,08-Feb-1995,"1.77 m / 5' 10""",Bayern Munich (ALE),jugador
2022,Alemania,alemania,Leon Goretzka,leon_goretzka,MC,8,06-Feb-1995,"1.89 m / 6' 2""",Bayern Munich (ALE),jugador
2022,Alemania,alemania,Mario Götze,mario_gotze,MC,11,03-Jun-1992,"1.76 m / 5' 9""",Eintracht Frankfurt (ALE),jugador
2022,Alemania,alemania,Thomas Müller,thomas_mueller,MC,13,13-Sep-1989,"1.85 m / 6' 1""",Bayern Munich (ALE),jugador
2022,Alemania,alemania,Jamal Musiala,jamal_musiala,MC,14,26-Feb-2003,"1.84 m / 6' 0""",Bayern Munich (ALE),jugador
2022,Alemania,alemania,Julian Brandt,julian_brandt,MC,17,02-May-1996,"1.83 m / 6' 0""",Borussia Dortmund (ALE),jugador
2022,Alemania,alemania,Jonas Hofmann,jonas_hofmann,MC,18,14-Jul-1992,"1.76 m / 5' 9""",Borussia Mönchengladbach (ALE),jugador
2022,Alemania,alemania,Leroy Sané,leroy_sane,MC,19,11-Ene-1996,"1.83 m / 6' 0""",Bayern Munich (ALE),jugador
2022,Alemania,alemania,Ilkay Gündogan,ilkay_gundogan,MC,21,24-Oct-1990,"1.80 m / 5' 11""",Manchester City (ING),jugador
2022,Alemania,alemania,Kai Havertz,kai_havertz,DL,7,11-Jun-1999,"1.90 m / 6' 3""",Chelsea (ING),jugador
2022,Alemania,alemania,Niclas Füllkrug,niclas_fullkrug,DL,9,09-Feb-1993,"1.88 m / 6' 2""",SV Werder Bremen (ALE),jugador
2022,Alemania,alemania,Serge Gnabry,serge_gnabry,DL,10,14-Jul-1995,"1.76 m / 5' 9""",Bayern Munich (ALE),jugador
2022,Alemania,alemania,Karim Adeyemi,karim_adeyemi,DL,24,18-Ene-2002,"1.80 m / 5' 11""",Borussia Dortmund (ALE),jugador
2022,Alemania,alemania,Youssoufa Moukoko,youssoufa_moukoko,DL,26,20-Nov-2004,"1.79 m / 5' 10""",Borussia Dortmund (ALE),jugador
2022,Alemania,alemania,Hansi Flick,,DT,,,,,entrenador
2022,Arabia Saudita,arabia_saudita,Mohammed Al Rubaie,mohammed_al_rubaie,AR,1,14-Ago-1997,"1.90 m / 6' 3""",Al-Ahli (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Mohammed Al-Owais,mohammed_al_owais,AR,21,10-Oct-1991,"1.85 m / 6' 1""",Al-Hilal (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Nawaf Al-Aqidi,nawaf_al_aqidi,AR,22,10-May-2000,"1.86 m / 6' 1""",Al-Nassr (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Sultan Al-Ghanam,sultan_al_ghanam,DF,2,06-May-1994,"1.73 m / 5' 8""",Al-Nassr (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Abdullah Madu,abdullah_madu,DF,3,15-Jul-1993,"1.87 m / 6' 2""",Al-Nassr (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Abdulelah Al-Amri,abdulelah_al_amri,DF,4,15-Ene-1997,"1.85 m / 6' 1""",Al-Nassr (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Ali Al-Bulaihi,ali_al_bulaihi,DF,5,21-Nov-1989,"1.82 m / 5' 12""",Al-Hilal (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Mohammed Al-Breik,mohammed_al_breik,DF,6,15-Sep-1992,"1.73 m / 5' 8""",Al-Hilal (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Saud Abdulhamid,saud_abdulhamid,DF,12,18-Jul-1999,"1.71 m / 5' 7""",Al-Hilal (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Yasser Al-Shahrani,yasser_al_shahrani,DF,13,25-May-1992,"1.71 m / 5' 7""",Al-Hilal (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Hassan Tambakti,hassan_tambakti,DF,17,09-Feb-1999,"1.82 m / 5' 12""",Al-Shabab (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Salman Al-Faraj,salman_al_faraj,MC,7,01-Ago-1989,"1.80 m / 5' 11""",Al-Hilal (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Abdulelah Al-Malki,abdulellah_al_malki,MC,8,11-Oct-1994,"1.76 m / 5' 9""",Al-Hilal (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Abdullah Otayf,abdullah_otayf,MC,14,03-Ago-1992,"1.77 m / 5' 10""",Al-Hilal (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Ali Al-Hassan,ali_al_hassan,MC,15,04-Mar-1997,"1.82 m / 5' 12""",Al-Nassr (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Sami Al-Najei,sami_al_najei,MC,16,07-Feb-1997,"1.76 m / 5' 9""",Al-Nassr (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Nawaf Al-Abed,nawaf_al_abed,MC,18,26-Ene-1990,"1.69 m / 5' 7""",Al-Shabab (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Mohamed Kanno,mohamed_kanno,MC,23,22-Sep-1994,"1.92 m / 6' 4""",Al-Hilal (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Nasser Al-Dawsari,nasser_al_dawsari,MC,24,19-Dic-1998,"1.78 m / 5' 10""",Al-Hilal (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Riyadh Sharahili,riyadh_sharahili,MC,26,28-Apr-1993,"1.84 m / 6' 0""",Abha (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Firas Al-Buraikan,firas_al_buraikan,DL,9,14-May-2000,"1.81 m / 5' 11""",Al-Fateh,jugador
2022,Arabia Saudita,arabia_saudita,Salem Al-Dawsari,salem_al_dawsari,DL,10,19-Ago-1991,"1.72 m / 5' 8""",Al-Hilal (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Saleh Al-Shehri,saleh_al_shehri,DL,11,01-Nov-1993,"1.84 m / 6' 0""",Al-Hilal (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Hattan Bahebri,hattan_bahebri,DL,19,16-Jul-1992,"1.72 m / 5' 8""",Al-Shabab (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Abdulrahman Al-Aboud,abdulrahman_al_aboud,DL,20,01-Jun-1995,"1.74 m / 5' 9""",Al-Ittihad (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Haitham Asiri,haitham_asiri,DL,25,25-Mar-2001,"1.73 m / 5' 8""",Al-Hilal (ARA),jugador
2022,Arabia Saudita,arabia_saudita,Herve Renard,,DT,,,,,entrenador
2022,Argentina,argentina,Franco Armani,franco_armani,AR,1,16-Oct-1986,"1.89 m / 6' 2""",River Plate (ARG),jugador
2022,Argentina,argentina,Geronimo Rulli,geronimo_rulli,AR,12,20-May-1992,"1.89 m / 6' 2""",Villarreal (ESP),jugador
2022,Argentina,argentina,Emiliano Martinez,emiliano_martinez,AR,23,01-Sep-1992,"1.95 m / 6' 5""",Aston Villa (ING),jugador
2022,Argentina,argentina,Juan Foyth,juan_foyth,DF,2,12-Ene-1998,"1.88 m / 6' 2""",Villarreal (ESP),jugador
2022,Argentina,argentina,Nicolas Tagliafico,nicolas_tagliafico,DF,3,31-Ago-1992,"1.72 m / 5' 8""",Olympique de Lyon (FRA),jugador
2022,Argentina,argentina,Gonzalo Montiel,gonzalo_montiel,DF,4,01-Ene-1997,"1.75 m / 5' 9""",Sevilla FC (ESP),jugador
2022,Argentina,argentina,German Pezzella,german_pezzella,DF,6,27-Jun-1991,"1.90 m / 6' 3""",Real Betis (ESP),jugador
2022,Argentina,argentina,Cristian Romero,cristian_romero,DF,13,27-Apr-1998,"1.85 m / 6' 1""",Tottenham Hotspur (ING),jugador
2022,Argentina,argentina,Nicolas Otamendi,nicolas_otamendi,DF,19,12-Feb-1988,"1.83 m / 6' 0""",Benfica (POR),jugador
2022,Argentina,argentina,Lisandro Martinez,lisandro_martinez,DF,25,18-Ene-1998,"1.75 m / 5' 9""",Manchester United (ING),jugador
2022,Argentina,argentina,Nahuel Molina,nahuel_molina,DF,26,06-Apr-1998,"1.78 m / 5' 10""",Atlético Madrid (ESP),jugador
2022,Argentina,argentina,Leandro Paredes,leandro_paredes,MC,5,29-Jun-1994,"1.82 m / 5' 12""",Juventus (ITA),jugador
2022,Argentina,argentina,Rodrigo De Paul,rodrigo_de_paul,MC,7,24-May-1994,"1.80 m / 5' 11""",Atlético Madrid (ESP),jugador
2022,Argentina,argentina,Marcos Acuña,marcos_acuna,MC,8,28-Oct-1991,"1.72 m / 5' 8""",Sevilla FC (ESP),jugador
2022,Argentina,argentina,Exequiel Palacios,exequiel_palacios,MC,14,05-Oct-1998,"1.77 m / 5' 10""",Bayer Leverkusen (ALE),jugador
2022,Argentina,argentina,Thiago Almada,thiago_almada,MC,16,26-Apr-2001,"1.71 m / 5' 7""",Atlanta United FC (USA),jugador
2022,Argentina,argentina,Alejandro Gomez,alejandro_gomez,MC,17,15-Feb-1988,"1.67 m / 5' 6""",Sevilla FC (ESP),jugador
2022,Argentina,argentina,Guido Rodriguez,guido_rodriguez,MC,18,12-Apr-1994,"1.86 m / 6' 1""",Real Betis (ESP),jugador
2022,Argentina,argentina,Alexis Mac Allister,alexis_mac_allister,MC,20,24-Dic-1998,"1.76 m / 5' 9""",Brighton & Hove Albion (ING),jugador
2022,Argentina,argentina,Enzo Fernandez,enzo_fernandez,MC,24,17-Ene-2001,"1.78 m / 5' 10""",Benfica (POR),jugador
2022,Argentina,argentina,Julian Alvarez,julian_alvarez,DL,9,31-Ene-2000,"1.70 m / 5' 7""",Manchester City (ING),jugador
2022,Argentina,argentina,Lionel Messi,lionel_messi,DL,10,24-Jun-1987,"1.70 m / 5' 7""",PSG (FRA),jugador
2022,Argentina,argentina,Angel Di Maria,angel_di_maria,DL,11,14-Feb-1988,"1.78 m / 5' 10""",Juventus (ITA),jugador
2022,Argentina,argentina,Ángel Correa,angel_correa,DL,15,09-Mar-1995,"1.74 m / 5' 9""",Atlético Madrid (ESP),jugador
2022,Argentina,argentina,Paulo Dybala,paulo_dybala,DL,21,15-Nov-1993,"1.77 m / 5' 10""",Roma (ITA),jugador
2022,Argentina,argentina,Lautaro Martinez,lautaro_martinez,DL,22,22-Ago-1997,"1.74 m / 5' 9""",Inter (ITA),jugador
2022,Argentina,argentina,Lionel Scaloni,,DT,,,,,entrenador
2022,Australia,australia,Mathew Ryan,mathew_ryan,AR,1,08-Apr-1992,"1.84 m / 6' 0""",Copenhagen,jugador
2022,Australia,australia,Andrew Redmayne,andrew_redmayne,AR,12,13-Ene-1989,"1.94 m / 6' 4""",Sydney FC (AUL),jugador
2022,Australia,australia,Danny Vukovic,danny_vukovic,AR,18,27-Mar-1985,"1.87 m / 6' 2""",Central Coast Mariners (AUL),jugador
2022,Australia,australia,Milos Degenek,milos_degenek,DF,2,28-Apr-1994,"1.87 m / 6' 2""",Columbus Crew (USA),jugador
2022,Australia,australia,Nathaniel Atkinson,nathaniel_atkinson,DF,3,13-Jun-1999,"1.81 m / 5' 11""",Heart Of Midlothian (ESC),jugador
2022,Australia,australia,Kye Rowles,kye_rowles,DF,4,24-Jun-1998,"1.85 m / 6' 1""",Heart Of Midlothian (ESC),jugador
2022,Australia,australia,Fran Karacic,fran_karacic,DF,5,12-May-1996,"1.81 m / 5' 11""",Brescia (ITA),jugador
2022,Australia,australia,Bailey Wright,bailey_wright,DF,8,28-Jul-1992,"1.84 m / 6' 0""",Sunderland (ING),jugador
2022,Australia,australia,Aziz Behich,aziz_behich,DF,16,16-Dic-1990,"1.70 m / 5' 7""",Dundee United (ESC),jugador
2022,Australia,australia,Harry Souttar,harry_souttar,DF,19,22-Oct-1998,"1.98 m / 6' 6""",Stoke City (ING),jugador
2022,Australia,australia,Thomas Deng,thomas_deng,DF,20,20-Mar-1997,"1.78 m / 5' 10""",Albirex Niigata,jugador
2022,Australia,australia,Joel King,joel_king,DF,24,30-Oct-2000,"1.79 m / 5' 10""",OB,jugador
2022,Australia,australia,Ajdin Hrustic,ajdin_hrustic,MC,10,05-Jul-1996,"1.80 m / 5' 11""",Verona (ITA),jugador
2022,Australia,australia,Aaron Mooy,aaron_mooy,MC,13,15-Sep-1990,"1.74 m / 5' 9""",Celtic (ESC),jugador
2022,Australia,australia,Riley McGree,riley_mcgree,MC,14,02-Nov-1998,"1.78 m / 5' 10""",Middlesbrough (ING),jugador
