anio,seleccion_id,jugador_id,posicion,camiseta,club
2022,1,2863,AR,1,Bayern Munich (ALE)
2022,1,3142,AR,12,Eintracht Frankfurt (ALE)
2022,1,3143,AR,22,FC Barcelona (ESP)
2022,1,3135,DF,2,Real Madrid CF (ESP)
2022,1,3136,DF,3,RB Leipzig (ALE)
2022,1,3144,DF,4,SC Freiburg (ALE)
2022,1,1527,DF,5,West Ham United (ING)
2022,1,3137,DF,15,Borussia Dortmund (ALE)
2022,1,3145,DF,16,RB Leipzig (ALE)
2022,1,3146,DF,20,SC Freiburg (ALE)
2022,1,3138,DF,23,Borussia Dortmund (ALE)
2022,1,3147,DF,25,Southampton (ING)
2022,1,1529,MC,6,Bayern Munich (ALE)
2022,1,1528,MC,8,Bayern Munich (ALE)
2022,1,301,MC,11,Eintracht Frankfurt (ALE)
2022,1,16,MC,13,Bayern Munich (ALE)
2022,1,3139,MC,14,Bayern Munich (ALE)
2022,1,3148,MC,17,Borussia Dortmund (ALE)
2022,1,3140,MC,18,Borussia Mönchengladbach (ALE)
2022,1,3149,MC,19,Bayern Munich (ALE)
2022,1,67,MC,21,Manchester City (ING)
2022,1,130,DL,7,Chelsea (ING)
2022,1,99,DL,9,SV Werder Bremen (ALE)
2022,1,127,DL,10,Bayern Munich (ALE)
2022,1,3150,DL,24,Borussia Dortmund (ALE)
2022,1,3141,DL,26,Borussia Dortmund (ALE)
2022,3,3012,AR,1,Al-Ahli (ARA)
2022,3,1476,AR,21,Al-Hilal (ARA)
2022,3,3013,AR,22,Al-Nassr (ARA)
2022,3,3009,DF,2,Al-Nassr (ARA)
2022,3,1556,DF,3,Al-Nassr (ARA)
2022,3,1510,DF,4,Al-Nassr (ARA)
2022,3,1473,DF,5,Al-Hilal (ARA)
2022,3,3010,DF,6,Al-Hilal (ARA)
2022,3,1474,DF,12,Al-Hilal (ARA)
2022,3,3006,DF,13,Al-Hilal (ARA)
2022,3,1555,DF,17,Al-Shabab (ARA)
2022,3,212,MC,7,Al-Hilal (ARA)
2022,3,1472,MC,8,Al-Hilal (ARA)
2022,3,3014,MC,14,Al-Hilal (ARA)
2022,3,1554,MC,15,Al-Nassr (ARA)
2022,3,3015,MC,16,Al-Nassr (ARA)
2022,3,1475,MC,18,Al-Shabab (ARA)
2022,3,3007,MC,23,Al-Hilal (ARA)
2022,3,3016,MC,24,Al-Hilal (ARA)
2022,3,3017,MC,26,Abha (ARA)
2022,3,3008,DL,9,Al-Fateh
2022,3,64,DL,10,Al-Hilal (ARA)
2022,3,63,DL,11,Al-Hilal (ARA)
2022,3,1557,DL,19,Al-Shabab (ARA)
2022,3,3018,DL,20,Al-Ittihad (ARA)
2022,3,3011,DL,25,Al-Hilal (ARA)
2022,5,2999,AR,1,River Plate (ARG)
2022,5,3000,AR,12,Villarreal (ESP)
2022,5,1603,AR,23,Aston Villa (ING)
2022,5,3001,DF,2,Villarreal (ESP)
2022,5,1696,DF,3,Olympique de Lyon (FRA)
2022,5,1514,DF,4,Sevilla FC (ESP)
2022,5,1590,DF,6,Real Betis (ESP)
2022,5,1585,DF,13,Tottenham Hotspur (ING)
2022,5,20,DF,19,Benfica (POR)
2022,5,1586,DF,25,Manchester United (ING)
2022,5,152,DF,26,Atlético Madrid (ESP)
2022,5,1588,MC,5,Juventus (ITA)
2022,5,2997,MC,7,Atlético Madrid (ESP)
2022,5,1558,MC,8,Sevilla FC (ESP)
2022,5,3002,MC,14,Bayer Leverkusen (ALE)
2022,5,3003,MC,16,Atlanta United FC (USA)
2022,5,2998,MC,17,Sevilla FC (ESP)
2022,5,3004,MC,18,Real Betis (ESP)
2022,5,121,MC,20,Brighton & Hove Albion (ING)
2022,5,91,MC,24,Benfica (POR)
2022,5,122,DL,9,Manchester City (ING)
2022,5,1,DL,10,PSG (FRA)
2022,5,31,DL,11,Juventus (ITA)
2022,5,3005,DL,15,Atlético Madrid (ESP)
2022,5,17,DL,21,Roma (ITA)
2022,5,2802,DL,22,Inter (ITA)
2022,6,3094,AR,1,Copenhagen
2022,6,3103,AR,12,Sydney FC (AUL)
2022,6,3104,AR,18,Central Coast Mariners (AUL)
2022,6,1550,DF,2,Columbus Crew (USA)
2022,6,3095,DF,3,Heart Of Midlothian (ESC)
2022,6,3096,DF,4,Heart Of Midlothian (ESC)
2022,6,3105,DF,5,Brescia (ITA)
2022,6,3106,DF,8,Sunderland (ING)
2022,6,1549,DF,16,Dundee United (ESC)
2022,6,3097,DF,19,Stoke City (ING)
2022,6,3107,DF,20,Albirex Niigata
2022,6,3108,DF,24,OB
2022,6,3109,MC,10,Verona (ITA)
2022,6,1484,MC,13,Celtic (ESC)
2022,6,3098,MC,14,Middlesbrough (ING)
2022,6,3110,MC,17,Heart Of Midlothian (ESC)
2022,6,1483,MC,22,FC St. Pauli (ALE)
2022,6,3099,MC,26,St Mirren
2022,6,3111,DL,6,Hibernian (ESC)
2022,6,117,DL,7,Melbourne City (AUL)
2022,6,3112,DL,9,Melbourne City (AUL)
2022,6,3100,DL,11,Cadiz
2022,6,88,DL,15,Fagiano Okayama
2022,6,3101,DL,21,Central Coast Mariners (AUL)
2022,6,65,DL,23,Adelaide United (AUL)
2022,6,3102,DL,25,Central Coast Mariners (AUL)
2022,12,2862,AR,1,Real Madrid CF (ESP)
2022,12,3196,AR,12,Club Brujas KV (BEL)
2022,12,3197,AR,13,VfL Wolfsburg (ALE)
2022,12,1708,DF,2,Royal Antwerp F.C. (BEL)
2022,12,3198,DF,3,Stade Rennais (FRA)
2022,12,3199,DF,4,Leicester City (ING)
2022,12,242,DF,5,RSC Anderlecht (BEL)
2022,12,1559,DF,19,Aston Villa (ING)
2022,12,3200,DF,26,RSC Anderlecht (BEL)
2022,12,1714,MC,6,Atlético Madrid (ESP)
2022,12,248,MC,7,Manchester City (ING)
2022,12,1688,MC,8,Leicester City (ING)
2022,12,256,MC,15,Borussia Dortmund (ALE)
2022,12,3201,MC,16,Borussia Dortmund (ALE)
2022,12,1488,MC,18,Everton (ING)
2022,12,3202,MC,20,Club Brujas KV (BEL)
2022,12,3193,MC,21,Leicester City (ING)
2022,12,180,DL,9,Inter (ITA)
2022,12,199,DL,10,Real Madrid CF (ESP)
2022,12,1487,DL,11,Atlético Madrid (ESP)
2022,12,179,DL,14,Galatasaray (TUR)
2022,12,3194,DL,17,Brighton & Hove Albion (ING)
2022,12,3203,DL,22,Milan (ITA)
2022,12,75,DL,23,Fenerbahce (TUR)
2022,12,3195,DL,24,Lens (FRA)
2022,12,3204,DL,25,Stade Rennais (FRA)
2022,10,3317,AR,1,Liverpool (ING)
2022,10,3323,AR,12,Palmeiras (BRA)
2022,10,3324,AR,23,Manchester City (ING)
2022,10,1592,DF,2,Juventus (ITA)
2022,10,39,DF,3,Chelsea (ING)
2022,10,1594,DF,4,PSG (FRA)
2022,10,3318,DF,6,Juventus (ITA)
2022,10,10,DF,13,Pumas de la UNAM (MEX)
2022,10,1575,DF,14,Real Madrid CF (ESP)
2022,10,3325,DF,16,Sevilla FC (ESP)
2022,10,3326,DF,24,Juventus (ITA)
2022,10,109,MC,5,Manchester United (ING)
2022,10,147,MC,7,West Ham United (ING)
2022,10,313,MC,8,Manchester United (ING)
2022,10,3327,MC,15,Liverpool (ING)
2022,10,1577,MC,17,Newcastle United (ING)
2022,10,3328,MC,22,Flamengo (BRA)
2022,10,81,DL,9,Tottenham Hotspur (ING)
2022,10,12,DL,10,PSG (FRA)
2022,10,3319,DL,11,FC Barcelona (ESP)
2022,10,3320,DL,18,Arsenal (ING)
2022,10,3321,DL,19,Manchester United (ING)
2022,10,146,DL,20,Real Madrid CF (ESP)
2022,10,2803,DL,21,Real Madrid CF (ESP)
2022,10,2804,DL,25,Flamengo (BRA)
2022,10,3322,DL,26,Arsenal (ING)
2022,14,3245,AR,1,Olympique de Marseille (FRA)
2022,14,3246,AR,16,Abha (ARA)
2022,14,3236,AR,23,Inter (ITA)
2022,14,1530,DF,3,Aris Salonique
2022,14,3247,DF,4,Stade Rennais (FRA)
2022,14,3248,DF,17,Philadelphia Union (USA)
2022,14,1490,DF,19,Al Taï Club
2022,14,100,DF,21,Nantes (FRA)
2022,14,3249,DF,24,Udinese (ITA)
2022,14,1574,DF,25,Seattle Sounders (USA)
2022,14,3242,MC,5,Hannover 96 (ALE)
2022,14,3243,MC,7,Besiktas (TUR)
2022,14,3237,MC,8,Napoli (ITA)
2022,14,3238,MC,14,KV Malines
2022,14,1576,MC,15,Olympiacos (GRE)
2022,14,3239,MC,18,Hellas Verona (ITA)
2022,14,3250,MC,22,Swansea City (ING)
2022,14,3251,MC,26,Cotonsport Garoua (CAM)
2022,14,3252,DL,2,Colombe Sportive du Sud Officiel
2022,14,3244,DL,6,Dinamo Moscú (RUS)
2022,14,3253,DL,9,Young Boys (SUI)
2022,14,104,DL,10,Al-Nassr (ARA)
2022,14,1531,DL,11,Shanghai Shenhua (CHN)
2022,14,3240,DL,12,Olympique de Lyon (FRA)
