tarjeta_id,partido_id,seleccion_id,jugador_id,tipo,minuto
1,1,16,1454,amarilla,15
2,1,16,1455,amarilla,22
3,1,28,114,amarilla,29
4,1,16,1456,amarilla,36
5,1,28,1457,amarilla,56
6,1,16,1458,amarilla,78
7,2,50,1459,amarilla,25
8,2,50,1460,amarilla,48
9,3,121,1461,amarilla,56
10,3,131,1462,amarilla,90+4
11,3,131,1463,amarilla,90+6
12,4,36,1464,amarilla,11
13,4,36,1465,amarilla,13
14,4,38,62,amarilla,40
15,4,38,1466,amarilla,45+2
16,4,36,1467,amarilla,51
17,4,36,1468,amarilla,90+10
18,5,3,1469,amarilla,67
19,5,3,1470,amarilla,75
20,5,3,64,amarilla,79
21,5,3,1471,amarilla,82
22,5,3,1472,amarilla,88
23,5,3,1473,amarilla,90+2
24,6,27,1474,amarilla,24
25,6,27,1475,amarilla,78
26,6,139,1476,amarilla,86
27,7,117,1477,amarilla,29
28,7,117,1478,amarilla,56
29,7,125,1479,amarilla,76
30,8,6,89,amarilla,55
31,8,6,1480,amarilla,80
32,8,6,1481,amarilla,90+5
33,9,58,1482,amarilla,78
34,10,90,,roja,
35,10,102,,roja,
36,10,113,,roja,
37,10,72,,roja,
38,10,80,,roja,
39,10,94,,roja,
40,10,98,,roja,
41,11,22,1483,amarilla,68
42,11,22,275,amarilla,90+7
43,12,12,1484,amarilla,9
44,12,12,257,amarilla,54
45,12,12,1485,amarilla,56
46,12,15,96,amarilla,81
47,12,15,1486,amarilla,83
48,13,14,1487,amarilla,36
49,13,135,1488,amarilla,64
50,13,135,152,amarilla,83
51,14,141,1489,amarilla,57
52,14,21,109,amarilla,88
53,15,39,108,amarilla,45+1
54,15,39,78,amarilla,49
55,15,39,1490,amarilla,57
56,15,39,1491,amarilla,90+1
57,15,126,1492,amarilla,90+1
58,15,126,111,amarilla,90+5
59,16,132,102,amarilla,7
60,16,132,1493,amarilla,49
61,16,132,1494,amarilla,64
62,17,38,1495,amarilla,45+3
63,17,38,1496,roja,86
64,17,50,84,amarilla,90+5
65,17,50,1459,amarilla,90+5
66,18,16,1497,amarilla,20
67,18,131,85,amarilla,30
68,18,16,1498,amarilla,45+2
69,18,131,1499,amarilla,52
70,18,131,1500,amarilla,87
71,18,16,1501,amarilla,90+1
72,19,28,1457,amarilla,57
73,20,91,,roja,
74,20,100,,roja,
75,20,106,,roja,
76,21,139,1502,amarilla,26
77,21,139,1503,amarilla,64
78,21,139,182,amarilla,90+3
79,22,125,1504,amarilla,15
80,22,125,1505,amarilla,16
81,22,125,1506,amarilla,19
82,22,3,1469,amarilla,20
83,22,3,1507,amarilla,45+4
84,23,27,91,amarilla,20
85,23,27,1508,amarilla,23
86,23,37,1509,amarilla,43
87,24,117,1510,amarilla,22
88,24,5,1511,amarilla,43
89,24,117,1512,amarilla,50
90,24,117,1513,amarilla,66
91,24,117,1514,amarilla,89
92,25,22,1515,amarilla,41
93,25,55,1516,amarilla,44
94,25,22,1517,amarilla,61
95,25,22,1483,amarilla,70
96,25,55,1518,amarilla,84
97,25,55,1519,amarilla,90+3
98,26,12,1485,amarilla,29
99,26,58,1520,amarilla,90+5
100,27,15,1521,amarilla,52
101,27,24,1522,amarilla,56
102,27,15,1523,amarilla,85
103,27,24,7,amarilla,85
104,28,1,1524,amarilla,37
105,28,35,37,amarilla,44
106,28,1,1525,amarilla,58
107,28,1,1526,amarilla,60
108,29,14,1527,amarilla,24
109,29,14,1528,amarilla,30
110,29,132,1529,amarilla,45+4
111,29,132,1530,amarilla,90+3
112,30,39,1531,amarilla,21
113,30,21,1532,amarilla,27
114,30,39,1533,amarilla,73
115,30,21,134,amarilla,77
116,31,135,1534,amarilla,50
117,31,10,314,amarilla,52
118,32,141,1535,amarilla,6
119,32,126,1536,amarilla,38
120,32,141,1537,amarilla,44
121,32,126,79,amarilla,77
122,32,126,1538,amarilla,89
123,33,121,1539,amarilla,52
124,34,131,1463,amarilla,66
125,35,38,1540,amarilla,29
126,35,38,1541,amarilla,61
127,36,36,1542,amarilla,43
128,36,50,1543,amarilla,77
129,36,50,1544,amarilla,83
130,36,50,1545,amarilla,90+6
131,37,6,1546,amarilla,4
132,37,6,1547,amarilla,57
133,37,27,1548,amarilla,75
134,38,139,1549,amarilla,28
135,39,117,1550,amarilla,16
136,39,3,63,amarilla,28
137,39,3,1551,amarilla,34
138,39,3,1552,amarilla,52
139,39,3,1553,amarilla,81
140,39,3,1507,amarilla,90+1
141,39,3,1554,amarilla,90+7
142,40,5,1555,amarilla,49
143,40,125,185,amarilla,78
144,41,12,1556,amarilla,67
145,42,15,1557,amarilla,7
146,42,15,1558,amarilla,26
147,42,15,1559,amarilla,45+2
148,42,15,1560,amarilla,84
149,43,55,1518,amarilla,39
150,43,55,1561,amarilla,44
151,43,55,1562,amarilla,45
152,44,22,276,amarilla,77
153,45,141,1563,amarilla,20
154,45,141,24,amarilla,60
155,45,39,1564,amarilla,86
156,45,141,1565,amarilla,87
157,45,39,1490,amarilla,90+9
158,45,141,166,amarilla,90+10
159,45,141,45,amarilla,90+10
160,46,21,1566,amarilla,36
161,46,21,135,amarilla,90+2
162,47,135,1567,amarilla,15
163,47,135,1568,amarilla,34
164,47,132,103,amarilla,47
165,47,132,102,amarilla,56
166,47,132,1569,amarilla,66
167,47,132,1493,amarilla,81
168,47,132,104,amarilla,82
169,47,132,1530,amarilla,90+5
170,47,135,195,amarilla,90+5
171,47,135,1570,amarilla,90+9
172,47,132,1494,amarilla,90+10
173,48,14,1571,amarilla,6
174,48,10,1572,amarilla,7
175,48,14,1573,amarilla,28
176,48,14,1487,amarilla,32
177,48,14,105,amarilla,81
178,48,10,1574,amarilla,85
179,48,14,105,amarilla,90+3
180,49,121,1575,amarilla,60
181,49,121,112,amarilla,87
182,50,6,1480,amarilla,15
183,50,6,1547,amarilla,38
184,51,131,115,amarilla,76
185,52,37,156,amarilla,32
186,52,125,1576,amarilla,47
187,52,125,1505,amarilla,88
188,53,24,1577,amarilla,90
189,53,24,1578,amarilla,116
190,54,21,1532,amarilla,44
191,55,35,1579,amarilla,77
192,55,58,94,amarilla,90
193,56,135,1570,amarilla,43
194,56,135,1580,amarilla,59
195,57,121,1581,amarilla,43
196,57,5,1555,amarilla,43
197,57,5,1582,amarilla,45
198,57,121,154,amarilla,45+2
199,57,121,139,amarilla,76
200,57,5,1583,amarilla,76
201,57,121,1584,amarilla,88
202,57,5,1585,amarilla,89
203,57,5,1,amarilla,90+10
204,57,5,20,amarilla,90+12
205,57,121,1586,amarilla,91
206,57,5,1511,amarilla,109
207,57,5,1587,amarilla,112
208,57,121,142,amarilla,128
209,57,121,1588,amarilla,129
210,57,121,142,amarilla,129
211,58,10,1589,amarilla,25
212,58,24,1590,amarilla,31
213,58,10,110,amarilla,68
214,58,10,1591,amarilla,77
215,58,24,155,amarilla,117
216,59,37,40,amarilla,43
217,59,37,1592,amarilla,46
218,59,37,157,amarilla,82
219,59,46,253,amarilla,90
220,60,58,160,amarilla,70
221,60,126,1593,amarilla,87
222,60,58,1594,amarilla,90+1
223,60,58,1594,amarilla,90+3
224,61,24,1577,amarilla,32
225,61,24,1595,amarilla,32
226,61,5,1582,amarilla,68
227,61,5,20,amarilla,71
228,62,58,1596,amarilla,27
229,63,58,1597,amarilla,69
230,63,58,1598,amarilla,84
231,64,5,92,amarilla,45+7
232,64,37,66,amarilla,55
233,64,37,1599,amarilla,87
234,64,37,11,amarilla,90+5
235,64,5,1555,amarilla,90+8
236,64,5,1585,amarilla,114
237,64,5,1511,amarilla,116
238,64,5,1600,amarilla,125
239,65,130,165,amarilla,88
240,65,3,1601,amarilla,90+3
241,66,29,1602,amarilla,90+4
242,66,29,1603,amarilla,90+6
243,67,35,37,amarilla,17
244,67,126,111,amarilla,28
245,68,50,1604,amarilla,10
246,68,58,1605,amarilla,34
247,68,50,1459,amarilla,47
248,68,50,215,amarilla,90+2
249,69,6,118,amarilla,13
250,69,6,1606,amarilla,57
251,69,37,1607,amarilla,76
252,69,6,1546,amarilla,87
253,70,124,1608,amarilla,38
254,70,27,1609,amarilla,86
255,70,27,172,amarilla,90+3
256,71,78,,roja,
257,71,98,,roja,
258,71,107,,roja,
259,71,86,,roja,
260,71,99,,roja,
261,71,112,,roja,
262,72,24,193,amarilla,30
263,72,118,1610,amarilla,70
264,72,24,1590,amarilla,89
265,73,135,1611,amarilla,31
266,73,10,110,amarilla,47
267,73,135,1570,amarilla,65
268,73,135,1612,amarilla,68
269,74,22,1483,amarilla,22
270,74,22,1613,amarilla,56
271,74,132,1614,amarilla,59
