partido_id,seleccion_id,jugador_id,posicion,camiseta,seccion,es_capitan
1,9,120,AR,1,titular,False
1,9,296,DF,2,titular,False
1,9,166,DF,14,titular,False
1,9,297,DF,15,titular,False
1,9,298,DF,16,titular,False
1,9,299,MC,3,titular,False
1,9,300,MC,6,titular,False
1,9,301,MC,10,titular,True
1,9,122,MC,12,titular,False
1,9,124,DL,11,titular,False
1,9,121,DL,19,titular,False
1,9,302,DF,4,ingresado,False
1,9,40,DL,9,ingresado,False
1,9,303,AR,21,suplente_no_jugo,False
1,9,304,AR,22,suplente_no_jugo,False
1,9,305,DF,5,suplente_no_jugo,False
1,9,306,DF,13,suplente_no_jugo,False
1,9,165,DF,17,suplente_no_jugo,False
1,9,307,MC,8,suplente_no_jugo,False
1,9,308,MC,20,suplente_no_jugo,False
1,9,169,MC,23,suplente_no_jugo,False
1,9,309,MC,24,suplente_no_jugo,False
1,9,310,MC,25,suplente_no_jugo,False
1,9,311,MC,26,suplente_no_jugo,False
1,9,312,DL,7,suplente_no_jugo,False
1,9,313,DL,18,suplente_no_jugo,False
1,14,314,AR,1,titular,False
1,14,315,DF,2,titular,False
1,14,316,DF,3,titular,False
1,14,317,DF,7,titular,False
1,14,318,DF,17,titular,False
1,14,319,MC,10,titular,False
1,14,320,MC,19,titular,False
1,14,123,MC,20,titular,False
1,14,68,MC,23,titular,False
1,14,321,DL,11,titular,False
1,14,1,DL,13,titular,True
1,14,322,MC,5,ingresado,False
1,14,323,MC,16,ingresado,False
1,14,324,MC,21,ingresado,False
1,14,325,DL,26,ingresado,False
1,14,326,AR,12,suplente_no_jugo,False
1,14,327,AR,22,suplente_no_jugo,False
1,14,328,DF,4,suplente_no_jugo,False
1,14,329,DF,6,suplente_no_jugo,False
1,14,330,DF,14,suplente_no_jugo,False
1,14,331,DF,18,suplente_no_jugo,False
1,14,332,DF,25,suplente_no_jugo,False
1,14,333,MC,8,suplente_no_jugo,False
1,14,334,MC,9,suplente_no_jugo,False
1,14,335,MC,15,suplente_no_jugo,False
1,14,336,DL,24,suplente_no_jugo,False
2,20,337,AR,1,titular,False
2,20,338,DF,3,titular,False
2,20,339,DF,5,titular,False
