cambio_id,partido_id,seleccion_id,jugador_sale_id,jugador_entra_id,minuto
1,1,9,121,40,72
2,1,9,301,302,72
3,1,14,319,323,68
4,1,14,1,322,77
5,1,14,68,324,90
6,1,14,321,325,90
7,2,20,3,6,70
8,2,20,273,343,70
9,2,20,342,70,70
10,2,20,4,7,70
11,2,20,99,344,75
12,2,21,354,360,20
13,2,21,36,216,46
14,2,21,125,363,46
15,2,21,358,361,46
16,2,21,357,362,63
17,2,21,359,364,77
18,3,28,375,167,62
19,3,28,38,41,69
20,3,28,373,377,73
21,3,28,376,378,73
22,3,25,389,93,62
23,3,25,265,9,79
24,3,25,262,253,79
25,3,25,8,390,90+4
26,4,16,131,404,66
27,4,16,130,403,74
28,4,16,401,134,74
29,4,16,402,95,74
30,4,16,10,405,88
31,4,18,212,424,46
32,4,18,416,423,79
33,4,18,420,422,90+3
34,4,18,419,421,90+5
35,5,3,438,77,59
36,5,3,260,261,59
37,5,3,263,46,59
38,5,3,436,227,71
39,5,2,447,138,45+4
40,5,2,13,450,78
41,5,2,138,176,89
42,5,2,449,452,89
43,5,2,446,451,90+9
44,6,13,464,469,45+1
45,6,13,468,177,65
46,6,13,466,470,65
47,6,13,462,141,65
48,6,31,489,491,67
49,6,31,487,490,80
50,6,31,488,142,80
51,6,31,485,221,88
52,6,31,170,172,88
53,7,24,182,506,71
54,7,24,74,507,71
55,7,24,504,508,84
56,7,26,522,523,46
57,7,26,521,145,71
58,7,26,43,175,87
59,8,17,539,114,13
60,8,17,113,541,77
61,8,17,272,295,77
62,8,17,17,280,89
63,8,17,537,178,89
64,8,4,42,559,56
65,8,4,555,557,73
66,8,4,15,558,73
67,8,4,552,219,85
68,8,4,146,556,85
69,9,23,571,573,60
70,9,23,277,575,65
71,9,23,278,189,81
72,9,23,79,574,81
73,9,12,283,285,46
74,9,12,51,52,71
75,9,12,255,53,79
76,9,12,101,118,90
77,10,1,599,602,67
78,10,1,19,196,67
79,10,1,85,54,79
80,10,1,600,601,79
81,10,1,82,603,90
82,10,22,616,619,46
83,10,22,614,284,57
84,10,22,100,21,57
85,10,22,81,20,71
86,10,22,615,282,75
87,11,15,632,26,57
88,11,15,24,27,57
89,11,15,195,634,64
90,11,15,630,633,64
91,11,15,23,635,69
92,11,11,647,649,46
93,11,11,648,651,61
94,11,11,184,653,61
95,11,11,186,652,72
96,11,11,646,650,82
97,12,6,151,152,46
98,12,6,668,153,46
99,12,6,670,671,62
100,12,6,28,672,78
101,12,8,687,689,58
102,12,8,230,691,58
103,12,8,685,232,74
104,12,8,190,690,81
105,12,8,686,231,81
106,13,30,704,705,72
107,13,30,29,706,72
108,13,30,90,707,72
109,13,30,245,205,81
110,13,30,703,258,90
111,13,7,720,723,68
112,13,7,721,724,74
113,13,7,60,59,74
114,13,7,722,725,81
115,14,32,238,241,64
116,14,32,209,741,79
117,14,32,737,742,79
118,14,32,739,740,88
119,14,10,758,761,74
120,14,10,759,243,74
121,14,10,760,63,74
122,15,27,774,777,56
123,15,27,208,33,77
124,15,27,775,776,88
125,15,27,30,106,88
126,15,27,32,778,88
127,15,19,158,204,66
128,15,19,31,792,77
129,15,19,62,34,77
130,15,19,790,791,90+2
131,15,19,788,793,90+2
132,16,5,104,206,75
133,16,5,102,292,75
134,16,5,103,808,79
135,16,5,35,807,79
136,16,5,806,809,87
137,16,29,820,825,57
138,16,29,161,824,57
139,16,29,819,91,66
140,16,29,162,823,66
141,16,29,58,822,83
142,17,18,418,423,57
143,17,18,420,212,57
144,17,18,419,431,77
145,17,18,213,425,87
146,17,21,364,370,68
147,17,21,356,362,77
148,17,21,359,36,77
149,17,21,363,125,77
150,17,21,361,358,83
151,18,9,122,300,69
152,18,9,301,40,74
153,18,9,296,302,83
154,18,9,166,305,83
155,18,28,376,168,64
156,18,28,67,387,74
157,18,28,39,41,74
158,18,28,167,372,78
159,18,28,128,385,78
160,19,25,265,93,46
161,19,25,9,262,69
162,19,25,253,390,79
163,19,25,8,111,79
164,19,14,321,323,74
165,19,14,320,319,90
166,19,14,1,325,90
167,20,20,4,7,68
168,20,20,2,98,68
169,20,20,3,6,77
170,20,16,130,409,77
171,20,16,131,404,77
172,20,16,95,402,83
173,20,16,10,414,83
174,21,31,485,172,46
175,21,31,170,73,67
176,21,31,488,142,73
177,21,31,484,221,73
178,21,4,42,569,64
179,21,4,555,566,64
180,21,4,562,219,75
181,21,4,72,556,85
182,21,4,15,557,85
183,22,26,43,520,63
184,22,26,175,535,71
185,22,2,456,138,46
186,22,2,451,450,65
187,22,2,13,457,85
188,22,2,135,459,85
189,22,2,138,226,90+5
190,23,17,17,280,63
191,23,17,272,295,75
192,23,17,545,540,75
193,23,17,271,541,90+2
194,23,13,177,478,46
195,23,13,469,468,73
196,23,13,470,477,85
197,23,13,140,476,90+2
198,24,3,444,46,57
199,24,3,291,77,63
200,24,3,180,110,63
201,24,3,119,260,69
202,24,3,76,442,69
203,24,24,515,181,42
204,24,24,504,508,66
205,24,24,513,507,66
206,24,24,505,183,73
207,25,22,627,21,46
208,25,22,614,622,46
209,25,22,185,284,62
210,25,22,20,617,67
211,25,22,625,282,82
212,25,11,184,648,65
213,25,11,657,652,65
214,25,11,186,658,89
215,25,11,150,656,90+5
216,26,6,670,681,60
217,26,6,153,668,60
218,26,6,678,671,75
219,26,6,28,682,75
220,26,6,152,680,81
221,26,23,288,189,68
222,26,23,279,573,68
223,26,23,277,49,73
224,26,23,79,574,73
225,26,23,278,578,78
226,27,12,52,112,60
227,27,12,51,283,72
228,27,12,193,285,86
229,27,12,101,118,86
230,27,12,255,53,86
231,27,8,691,231,46
232,27,8,686,689,46
233,27,8,685,230,62
234,27,8,687,232,72
235,27,8,688,700,72
236,28,15,24,27,54
237,28,15,25,635,66
238,28,15,23,634,66
239,28,15,630,633,82
240,28,1,194,607,70
241,28,1,599,54,70
242,28,1,19,611,70
243,28,1,82,602,85
244,28,1,596,598,87
245,29,7,720,59,55
246,29,7,721,199,67
247,29,7,251,723,67
248,29,7,718,719,81
249,29,7,722,724,81
250,29,29,56,828,55
251,29,29,820,825,78
252,29,29,57,832,78
253,29,29,818,829,78
254,29,29,830,833,90+2
255,30,10,770,759,46
256,30,10,769,243,57
257,30,10,203,760,78
258,30,10,754,766,90+2
259,30,19,31,791,78
260,30,19,204,796,78
261,30,19,792,239,78
262,30,19,62,788,83
263,30,19,797,787,88
264,31,5,104,292,46
265,31,5,206,252,58
266,31,5,806,808,73
267,31,5,35,807,73
268,31,5,805,813,86
269,31,30,205,712,58
270,31,30,245,711,58
271,31,30,704,714,76
272,31,30,29,706,76
273,31,30,244,705,86
274,32,27,782,108,42
275,32,27,208,33,69
276,32,27,777,776,82
277,32,27,32,784,82
278,32,27,30,106,82
279,32,32,737,86,62
280,32,32,736,739,62
281,32,32,241,238,72
282,32,32,237,750,72
283,32,32,209,741,86
284,33,25,93,389,66
285,33,25,9,262,66
286,33,25,390,253,82
287,33,25,8,111,82
288,33,25,66,396,86
289,33,9,169,122,64
290,33,9,121,40,64
291,33,9,301,307,64
292,33,9,165,306,85
293,33,9,300,312,85
294,34,14,324,323,46
295,34,14,333,322,46
296,34,14,321,336,64
297,34,14,318,332,85
298,34,28,168,128,74
299,34,28,387,41,74
300,34,28,38,372,90+5
301,35,18,416,418,36
302,35,18,11,423,46
303,35,18,417,421,57
304,35,18,212,420,77
305,35,18,431,430,81
306,35,20,99,344,57
307,35,20,341,351,57
308,35,20,347,349,57
309,35,20,338,340,65
310,35,20,6,7,75
311,36,21,357,358,45+2
312,36,21,364,369,46
313,36,21,359,362,71
314,36,21,356,217,71
315,36,21,363,370,77
316,36,16,71,404,46
317,36,16,131,134,65
318,36,16,402,95,77
319,36,16,10,399,82
320,36,16,130,409,82
321,37,4,15,556,46
322,37,4,555,563,74
323,37,4,42,569,82
324,37,4,72,566,89
325,37,13,140,476,46
326,37,13,478,468,59
327,37,13,141,469,59
328,37,13,463,177,69
329,37,13,466,220,69
330,38,31,73,488,60
331,38,31,498,499,74
332,38,31,489,171,83
333,38,17,548,16,63
334,38,17,545,546,63
335,38,17,295,18,63
336,38,17,541,271,73
337,38,17,547,272,79
338,39,2,136,458,37
339,39,2,223,225,46
340,39,2,13,459,62
341,39,2,450,226,88
342,39,24,504,508,46
343,39,24,517,506,77
344,39,24,74,507,77
345,39,24,143,513,86
346,39,24,222,516,86
347,40,26,534,533,46
348,40,26,145,520,46
349,40,26,523,530,62
350,40,26,254,526,72
351,40,26,228,535,83
352,40,3,227,436,59
353,40,3,119,263,59
354,40,3,77,291,79
355,40,3,46,266,79
356,40,3,76,443,83
357,41,12,51,285,64
358,41,12,52,112,64
359,41,12,255,53,90+2
360,41,6,681,680,46
361,41,6,671,678,59
362,41,6,151,683,72
363,41,6,229,668,72
364,41,6,152,670,87
365,42,8,698,687,60
366,42,8,232,689,60
367,42,8,691,688,60
368,42,8,231,685,65
369,42,8,230,699,76
370,42,23,189,279,65
371,42,23,277,49,65
372,42,23,278,578,76
373,42,23,78,574,76
374,42,23,288,582,85
375,43,22,616,20,46
376,43,22,614,284,46
377,43,22,100,21,62
378,43,22,618,619,68
379,43,22,81,188,87
380,43,15,629,641,46
381,43,15,635,24,57
382,43,15,27,23,57
383,43,15,25,644,68
384,43,15,633,630,68
385,44,11,652,658,46
386,44,11,47,648,74
387,44,11,662,650,74
388,44,11,83,660,90+3
389,44,11,646,184,90+3
390,44,1,196,607,46
391,44,1,19,54,55
392,44,1,599,85,66
393,44,1,596,601,66
394,44,1,597,606,90+3
395,45,19,792,239,46
396,45,19,31,34,46
397,45,19,790,791,72
398,45,19,160,793,72
399,45,19,62,800,90+8
400,45,32,207,737,34
401,45,32,739,742,66
402,45,32,238,241,66
403,45,32,237,748,80
404,45,32,86,750,80
405,46,10,758,89,65
406,46,10,88,761,81
407,46,10,243,760,81
408,46,10,63,768,90+3
409,46,27,208,33,65
410,46,27,784,776,65
411,46,27,30,785,65
412,46,27,274,775,81
413,46,27,778,777,81
414,47,29,91,200,55
415,47,29,818,161,55
416,47,29,57,822,68
417,47,29,820,825,78
418,47,29,821,833,78
419,47,30,90,713,69
420,47,30,704,711,69
421,47,30,245,715,83
422,47,30,29,707,90+6
423,48,7,722,721,64
424,48,7,251,731,68
425,48,7,725,733,86
426,48,5,292,816,54
427,48,5,206,252,54
428,48,5,813,270,54
429,48,5,807,293,64
430,48,5,808,806,79
431,49,25,9,253,46
432,49,25,390,265,46
433,49,25,93,397,83
434,49,25,8,111,90+3
435,49,25,211,127,90+3
436,49,16,415,414,46
437,49,16,131,95,67
438,49,16,10,404,67
439,49,16,130,403,75
440,49,16,400,405,90+2
441,50,3,438,261,50
442,50,3,77,291,71
443,50,3,227,436,71
444,50,3,110,442,80
445,50,3,76,180,80
446,50,4,555,15,58
447,50,4,556,566,58
448,50,4,219,562,71
449,50,4,72,558,71
450,50,4,42,569,71
451,51,20,70,7,65
452,51,20,3,6,65
453,51,20,339,343,76
454,51,20,2,342,76
455,51,20,98,351,82
456,51,28,168,377,46
457,51,28,376,385,46
458,51,28,387,41,46
459,51,28,38,39,72
460,51,28,167,383,84
461,52,17,113,541,66
462,52,17,272,295,76
463,52,17,17,280,76
464,52,17,178,544,90+2
465,52,26,521,175,64
466,52,26,520,522,71
467,52,26,228,523,71
468,52,26,173,528,87
469,52,26,145,531,87
470,53,22,100,21,64
471,53,22,614,284,64
472,53,22,618,615,75
473,53,22,20,282,87
474,53,22,624,81,106
475,53,12,112,593,62
476,53,12,51,285,68
477,53,12,193,53,99
478,53,12,255,283,99
479,53,12,593,52,106
480,53,12,101,118,106
481,54,5,250,812,63
482,54,5,102,809,72
483,54,5,268,814,72
484,54,5,803,810,80
485,54,5,103,292,80
486,54,10,203,761,46
487,54,10,753,765,46
488,54,10,756,105,65
489,54,10,758,243,74
490,54,10,63,760,80
491,55,23,277,575,66
492,55,23,79,189,82
493,55,23,571,573,82
494,55,23,279,275,82
495,55,23,572,578,84
496,55,23,278,287,120
497,55,15,25,26,63
498,55,15,23,27,63
499,55,15,24,635,75
500,55,15,630,633,98
501,55,15,22,644,98
502,55,15,635,286,118
503,56,27,32,30,74
504,56,27,774,274,74
505,56,27,106,87,74
506,56,27,775,208,81
507,56,27,65,33,87
508,56,30,248,258,46
509,56,30,92,713,54
510,56,30,704,706,54
511,56,30,245,707,66
512,56,30,29,716,89
513,57,25,265,262,46
514,57,25,390,253,46
515,57,25,94,290,64
516,57,25,93,111,78
517,57,25,8,267,113
518,57,3,437,263,66
519,57,3,227,436,78
520,57,3,260,266,78
521,57,3,77,291,82
522,57,3,110,180,106
523,57,3,261,119,112
524,58,12,51,112,72
525,58,12,285,283,72
526,58,12,255,53,106
527,58,12,583,593,110
528,58,12,269,118,114
529,58,5,806,808,56
530,58,5,102,292,64
531,58,5,35,293,84
532,58,5,250,805,106
533,58,5,104,206,106
534,59,20,98,342,79
535,59,20,3,4,79
536,59,20,70,6,85
537,59,20,339,7,90+8
538,59,17,272,295,79
539,60,23,48,117,57
540,60,23,279,275,65
541,60,23,79,287,65
542,60,23,78,49,82
543,60,23,277,582,82
544,60,27,208,30,51
545,60,27,108,773,51
546,60,27,774,274,69
547,60,27,106,33,69
548,60,27,781,87,79
549,61,3,263,261,62
550,61,3,77,294,74
551,61,3,437,442,74
552,61,3,110,441,86
553,61,3,76,445,86
554,61,12,285,283,46
555,61,12,583,118,46
556,61,12,269,112,50
557,61,12,51,52,72
558,61,12,193,53,81
559,62,17,17,280,65
560,62,17,272,115,78
561,62,23,48,279,21
562,62,23,571,573,46
563,62,23,277,49,66
564,62,23,79,574,66
565,62,23,279,575,78
566,63,12,51,283,61
567,63,12,53,285,66
568,63,12,52,112,66
569,63,12,118,592,90+5
570,63,23,189,580,46
571,63,23,581,278,56
572,63,23,277,579,64
573,63,23,117,287,64
574,63,23,578,279,66
575,64,3,119,227,64
576,64,3,110,180,91
577,64,3,437,263,102
578,64,3,77,291,102
579,64,3,76,266,116
580,64,3,436,294,120+1
