partido_id,seleccion_id,entrenador_id
1,9,1
1,14,2
2,20,3
2,21,4
3,28,5
3,25,6
4,16,7
4,18,8
5,3,9
5,2,10
6,13,11
6,31,12
7,24,13
7,26,14
8,17,15
8,4,16
9,23,17
9,12,18
10,1,19
10,22,20
11,15,21
11,11,22
12,6,23
12,8,24
13,30,25
13,7,26
14,32,27
14,10,28
15,27,29
15,19,30
16,5,31
16,29,32
17,18,8
17,21,4
18,9,1
18,28,5
19,25,6
19,14,2
20,20,3
20,16,7
21,31,12
21,4,16
22,26,14
22,2,10
23,17,15
23,13,11
24,3,9
24,24,13
25,22,20
25,11,22
26,6,23
26,23,17
27,12,18
27,8,24
28,15,21
28,1,19
29,7,26
29,29,32
30,10,28
30,19,30
31,5,31
31,30,25
32,27,29
32,32,27
33,25,6
33,9,1
34,14,2
34,28,5
35,18,8
35,20,3
36,21,4
36,16,7
37,4,16
37,13,11
38,31,12
38,17,15
39,2,10
39,24,13
40,26,14
40,3,9
41,12,18
41,6,23
42,8,24
42,23,17
43,22,20
43,15,21
44,11,22
44,1,19
45,19,30
45,32,27
46,10,28
46,27,29
47,29,32
47,30,25
48,7,26
48,5,31
49,25,6
49,16,7
50,3,9
50,4,16
51,20,3
51,28,5
52,17,15
52,26,14
53,22,20
53,12,18
54,5,31
54,10,28
55,23,17
55,15,21
56,27,29
56,30,25
57,25,6
57,3,9
58,12,18
58,5,31
59,20,3
59,17,15
60,23,17
60,27,29
61,3,9
61,12,18
62,17,15
62,23,17
63,12,18
63,23,17
64,3,9
64,17,15
