gol_id,partido_id,seleccion_id,jugador_id,minuto,es_penal,es_autogol
1,1,14,1,16,True,False
2,1,14,1,31,False,False
3,2,20,2,35,False,False
4,2,20,3,43,False,False
5,2,20,4,45+1,False,False
6,2,20,3,62,False,False
7,2,21,5,65,False,False
8,2,20,6,71,False,False
9,2,20,7,90,False,False
10,2,21,5,90+13,True,False
11,3,25,8,84,False,False
12,3,25,9,90+9,False,False
13,4,16,10,36,False,False
14,4,18,11,82,True,False
15,5,3,12,10,True,False
16,5,2,13,48,False,False
17,5,2,14,53,False,False
18,8,4,15,9,False,False
19,8,17,16,27,False,False
20,8,17,17,32,False,False
21,8,17,18,68,False,False
22,8,17,17,71,False,False
23,10,1,19,33,True,False
24,10,22,20,75,False,False
25,10,22,21,83,False,False
26,11,15,22,11,False,False
27,11,15,23,21,False,False
28,11,15,24,31,True,False
29,11,15,24,54,False,False
30,11,15,25,74,False,False
31,11,15,26,90,False,False
32,11,15,27,90+2,False,False
33,12,6,28,44,False,False
34,13,30,29,48,False,False
35,15,27,30,65,True,False
36,15,19,31,73,False,False
37,15,27,32,78,False,False
38,15,27,33,80,False,False
39,15,19,34,89,False,False
40,16,5,35,62,False,False
41,16,5,35,73,False,False
42,17,21,36,90+8,False,False
43,17,21,37,90+11,False,False
44,18,28,38,41,False,False
45,18,28,39,48,False,False
46,18,9,40,78,False,False
47,18,28,41,84,False,False
48,19,25,8,6,False,False
49,19,14,1,49,False,False
50,21,4,42,23,False,False
51,22,26,43,39,False,False
52,22,26,44,82,False,False
53,23,17,18,61,False,False
54,23,13,45,68,False,False
55,23,17,18,86,False,False
56,24,3,12,64,False,False
57,24,3,46,87,False,False
58,25,11,47,81,False,False
59,26,23,48,73,False,False
60,26,23,49,90+2,False,False
61,27,8,50,2,False,False
62,27,12,51,36,False,False
63,27,12,52,44,False,False
64,27,12,51,70,False,False
65,27,12,53,90+4,False,False
66,28,15,27,62,False,False
67,28,1,54,83,False,False
68,29,7,55,29,False,False
69,29,29,56,45+1,False,False
70,29,29,57,45+3,False,False
71,29,29,58,53,False,False
72,29,7,59,63,False,False
73,29,7,60,66,False,False
74,30,19,61,24,False,False
75,30,19,62,34,False,False
76,30,10,63,58,False,False
77,30,10,63,61,False,False
78,30,19,62,68,False,False
79,31,5,64,83,False,False
80,32,27,65,54,False,False
81,32,27,65,90+3,False,False
82,33,25,8,26,False,False
83,33,25,66,49,False,False
84,34,28,67,44,False,False
85,34,14,68,67,False,False
86,34,28,69,70,False,False
87,35,20,6,50,False,False
88,35,20,70,51,False,False
89,35,20,6,68,False,False
90,36,16,71,38,False,False
91,37,4,72,60,False,False
92,38,31,73,58,False,False
93,39,24,74,47,False,False
94,39,24,75,52,False,False
95,39,2,14,90+5,False,False
96,40,3,76,46,False,False
97,40,3,77,67,False,False
98,42,23,78,4,False,False
99,42,23,79,23,False,False
100,42,8,80,40,False,True
101,43,15,27,11,False,False
102,43,22,20,48,False,False
103,43,22,81,51,False,False
104,44,1,82,10,False,False
105,44,11,83,58,False,False
106,44,11,84,70,False,False
107,44,1,85,73,False,False
108,44,1,85,85,False,False
109,44,1,54,89,False,False
110,45,32,86,26,False,False
111,45,32,86,32,False,False
112,46,27,87,5,False,False
113,46,10,88,27,False,False
114,46,10,89,90+1,False,False
115,47,30,90,20,False,False
116,47,29,58,26,False,False
117,47,29,91,35,False,False
118,47,30,29,44,False,False
119,47,30,92,48,False,False
120,48,7,59,90+2,False,False
121,49,25,93,10,False,False
122,49,25,94,45+1,False,False
123,49,16,95,76,False,False
124,49,25,96,81,False,False
125,50,3,12,35,False,False
126,50,3,77,57,False,False
127,50,4,97,77,False,True
128,51,20,98,38,False,False
129,51,20,99,45+3,False,False
130,51,20,3,57,False,False
131,52,17,17,44,False,False
132,52,17,18,74,False,False
133,52,17,18,90+1,False,False
134,52,26,44,90+9,True,False
135,53,22,100,43,False,False
136,53,12,101,55,False,False
137,54,5,102,7,False,False
138,54,5,103,13,False,False
139,54,5,35,29,False,False
140,54,5,104,36,False,False
141,54,10,105,76,False,False
142,56,27,106,17,False,False
143,56,27,107,33,False,False
144,56,27,106,51,False,False
145,56,27,108,55,False,False
146,56,30,109,58,False,False
147,56,27,106,67,False,False
148,56,27,33,90+2,False,False
149,57,3,110,35,False,False
150,57,3,12,73,True,False
151,57,25,111,83,False,False
152,57,25,111,90+11,False,False
153,58,5,103,105+1,False,False
154,58,12,112,117,False,False
155,59,17,113,17,False,False
156,59,20,99,54,True,False
157,59,17,17,78,False,False
158,60,23,79,42,False,False
159,61,3,12,34,True,False
160,61,3,77,39,False,False
161,61,3,77,69,False,False
162,62,17,114,5,False,False
163,62,17,115,79,False,False
164,63,12,116,7,False,False
165,63,23,117,9,False,False
166,63,12,118,42,False,False
167,64,3,12,23,True,False
168,64,3,119,36,False,False
169,64,17,18,80,True,False
170,64,17,18,81,False,False
171,64,3,12,108,False,False
172,64,17,18,118,True,False
