jugador_id,nombre,nombre_completo,fecha_nacimiento,lugar_nacimiento,altura,apodo,sitio_web,redes_sociales
1,Enner Valencia,,,,,,,
2,Jude Bellingham,,,,,,,
3,Bukayo Saka,,,,,,,
4,Raheem Sterling,,,,,,,
5,Mehdi Taremi,,,,,,,
6,Marcus Rashford,,,,,,,
7,Jack Grealish,,,,,,,
8,Cody Gakpo,,,,,,,
9,Davy Klaassen,,,,,,,
10,Tim Weah,,,,,,,
11,Gareth Bale,,,,,,,
12,Lionel Messi,,,,,,,
13,Saleh Al-Shehri,,,,,,,
14,Salem Al-Dawsari,,,,,,,
15,Craig Goodwin,,,,,,,
16,Adrien Rabiot,,,,,,,
17,Olivier Giroud,,,,,,,
18,Kylian Mbappé,,,,,,,
19,Ilkay Gündogan,,,,,,,
20,Ritsu Doan,,,,,,,
21,Takuma Asano,,,,,,,
22,Dani Olmo,,,,,,,
23,Marco Asensio,,,,,,,
24,Ferran Torres,,,,,,,
25,Gavi,,,,,,,
26,Carlos Soler,,,,,,,
27,Álvaro Morata,,,,,,,
28,Michy Batshuayi,,,,,,,
29,Breel Embolo,,,,,,,
30,Cristiano Ronaldo,,,,,,,
31,Andre Ayew,,,,,,,
32,João Félix,,,,,,,
33,Rafael Leão,,,,,,,
34,Osman Bukari,,,,,,,
35,Richarlison,,,,,,,
36,Rouzbeh Cheshmi,,,,,,,
37,Ramin Rezaeian,,,,,,,
38,Boulaye Dia,,,,,,,
39,Famara Diéhiou,,,,,,,
40,Mohammed Muntari,,,,,,,
41,Bamba Dieng,,,,,,,
42,Mitchell Duke,,,,,,,
43,Piotr Zieliński,,,,,,,
44,Robert Lewandowski,,,,,,,
45,Andreas Christensen,,,,,,,
46,Enzo Fernandez,,,,,,,
47,Keysher Fuller,,,,,,,
48,Romain Saïss,,,,,,,
49,Zakaria Aboukhlal,,,,,,,
50,Alphonso Davies,,,,,,,
51,Andrej Kramarić,,,,,,,
52,Marko Livaja,,,,,,,
53,Lovro Majer,,,,,,,
54,Niclas Füllkrug,,,,,,,
55,Jean-Charles Castelletto,,,,,,,
56,Strahinja Pavlovic,,,,,,,
57,Sergej Milinković-Savić,,,,,,,
58,Aleksandar Mitrović,,,,,,,
59,Vincent Aboubakar,,,,,,,
60,Eric Maxim Choupo Moting,,,,,,,
61,Mohammed Salisu,,,,,,,
62,Mohammed Kudus,,,,,,,
63,Gue-sung Cho,,,,,,,
64,Casemiro,,,,,,,
65,Bruno Fernandes,,,,,,,
66,Frenkie de Jong,,,,,,,
67,Ismaïla Sarr,,,,,,,
68,Moisés Caicedo,,,,,,,
69,Kalidou Koulibaly,,,,,,,
70,Phil Foden,,,,,,,
71,Christian Pulisic,,,,,,,
72,Mathew Leckie,,,,,,,
73,Wahbi Khazri,,,,,,,
74,Henry Martin,,,,,,,
75,Luis Chávez,,,,,,,
76,Alexis Mac Allister,,,,,,,
77,Julian Alvarez,,,,,,,
78,Hakim Ziyech,,,,,,,
79,Youssef En-Nesyri,,,,,,,
80,Nayef Aguerd (en contra),,,,,,,
81,Ao Tanaka,,,,,,,
82,Serge Gnabry,,,,,,,
83,Yeltsin Tejeda,,,,,,,
