partido_id,anio,fecha,etapa,local_seleccion_id,visitante_seleccion_id,goles_local,goles_visitante,tiempo_extra,definicion_penales,penales_local,penales_visitante
1,2022,20-Nov-2022,"1ra Ronda, Grupo A",9,14,0,2,False,False,,
2,2022,21-Nov-2022,"1ra Ronda, Grupo B",20,21,6,2,False,False,,
3,2022,21-Nov-2022,"1ra Ronda, Grupo A",28,25,0,2,False,False,,
4,2022,21-Nov-2022,"1ra Ronda, Grupo B",16,18,1,1,False,False,,
5,2022,22-Nov-2022,"1ra Ronda, Grupo C",3,2,1,2,False,False,,
6,2022,22-Nov-2022,"1ra Ronda, Grupo D",13,31,0,0,False,False,,
7,2022,22-Nov-2022,"1ra Ronda, Grupo C",24,26,0,0,False,False,,
8,2022,22-Nov-2022,"1ra Ronda, Grupo D",17,4,4,1,False,False,,
9,2022,23-Nov-2022,"1ra Ronda, Grupo F",23,12,0,0,False,False,,
10,2022,23-Nov-2022,"1ra Ronda, Grupo E",1,22,1,2,False,False,,
11,2022,23-Nov-2022,"1ra Ronda, Grupo E",15,11,7,0,False,False,,
12,2022,23-Nov-2022,"1ra Ronda, Grupo F",6,8,1,0,False,False,,
13,2022,24-Nov-2022,"1ra Ronda, Grupo G",30,7,1,0,False,False,,
14,2022,24-Nov-2022,"1ra Ronda, Grupo H",32,10,0,0,False,False,,
15,2022,24-Nov-2022,"1ra Ronda, Grupo H",27,19,3,2,False,False,,
16,2022,24-Nov-2022,"1ra Ronda, Grupo G",5,29,2,0,False,False,,
17,2022,25-Nov-2022,"1ra Ronda, Grupo B",18,21,0,2,False,False,,
18,2022,25-Nov-2022,"1ra Ronda, Grupo A",9,28,1,3,False,False,,
19,2022,25-Nov-2022,"1ra Ronda, Grupo A",25,14,1,1,False,False,,
20,2022,25-Nov-2022,"1ra Ronda, Grupo B",20,16,0,0,False,False,,
21,2022,26-Nov-2022,"1ra Ronda, Grupo D",31,4,0,1,False,False,,
22,2022,26-Nov-2022,"1ra Ronda, Grupo C",26,2,2,0,False,False,,
23,2022,26-Nov-2022,"1ra Ronda, Grupo D",17,13,2,1,False,False,,
24,2022,26-Nov-2022,"1ra Ronda, Grupo C",3,24,2,0,False,False,,
25,2022,27-Nov-2022,"1ra Ronda, Grupo E",22,11,0,1,False,False,,
26,2022,27-Nov-2022,"1ra Ronda, Grupo F",6,23,0,2,False,False,,
27,2022,27-Nov-2022,"1ra Ronda, Grupo F",12,8,4,1,False,False,,
28,2022,27-Nov-2022,"1ra Ronda, Grupo E",15,1,1,1,False,False,,
29,2022,28-Nov-2022,"1ra Ronda, Grupo G",7,29,3,3,False,False,,
30,2022,28-Nov-2022,"1ra Ronda, Grupo H",10,19,2,3,False,False,,
31,2022,28-Nov-2022,"1ra Ronda, Grupo G",5,30,1,0,False,False,,
32,2022,28-Nov-2022,"1ra Ronda, Grupo H",27,32,2,0,False,False,,
33,2022,29-Nov-2022,"1ra Ronda, Grupo A",25,9,2,0,False,False,,
34,2022,29-Nov-2022,"1ra Ronda, Grupo A",14,28,1,2,False,False,,
35,2022,29-Nov-2022,"1ra Ronda, Grupo B",18,20,0,3,False,False,,
36,2022,29-Nov-2022,"1ra Ronda, Grupo B",21,16,0,1,False,False,,
37,2022,30-Nov-2022,"1ra Ronda, Grupo D",4,13,1,0,False,False,,
38,2022,30-Nov-2022,"1ra Ronda, Grupo D",31,17,1,0,False,False,,
39,2022,30-Nov-2022,"1ra Ronda, Grupo C",2,24,1,2,False,False,,
40,2022,30-Nov-2022,"1ra Ronda, Grupo C",26,3,0,2,False,False,,
41,2022,01-Dec-2022,"1ra Ronda, Grupo F",12,6,0,0,False,False,,
42,2022,01-Dec-2022,"1ra Ronda, Grupo F",8,23,1,2,False,False,,
43,2022,01-Dec-2022,"1ra Ronda, Grupo E",22,15,2,1,False,False,,
44,2022,01-Dec-2022,"1ra Ronda, Grupo E",11,1,2,4,False,False,,
45,2022,02-Dec-2022,"1ra Ronda, Grupo H",19,32,0,2,False,False,,
46,2022,02-Dec-2022,"1ra Ronda, Grupo H",10,27,2,1,False,False,,
47,2022,02-Dec-2022,"1ra Ronda, Grupo G",29,30,2,3,False,False,,
48,2022,02-Dec-2022,"1ra Ronda, Grupo G",7,5,1,0,False,False,,
49,2022,03-Dec-2022,Octavos,25,16,3,1,False,False,,
50,2022,03-Dec-2022,Octavos,3,4,2,1,False,False,,
51,2022,04-Dec-2022,Octavos,20,28,3,0,False,False,,
52,2022,04-Dec-2022,Octavos,17,26,3,1,False,False,,
53,2022,05-Dec-2022,Octavos,22,12,1,1,True,True,2026,2022
54,2022,05-Dec-2022,Octavos,5,10,4,1,False,False,,
55,2022,06-Dec-2022,Octavos,23,15,0,0,True,True,2026,2022
56,2022,06-Dec-2022,Octavos,27,30,6,1,False,False,,
57,2022,09-Dec-2022,Cuartos,25,3,2,2,True,True,2026,2022
58,2022,09-Dec-2022,Cuartos,12,5,1,1,True,True,2026,2022
59,2022,10-Dec-2022,Cuartos,20,17,1,2,False,False,,
60,2022,10-Dec-2022,Cuartos,23,27,1,0,False,False,,
61,2022,13-Dec-2022,Semis,3,12,3,0,False,False,,
62,2022,14-Dec-2022,Semis,17,23,2,0,False,False,,
63,2022,17-Dec-2022,3er Puesto,12,23,2,1,False,False,,
64,2022,18-Dec-2022,Final,3,17,3,3,True,True,2026,2022
