penal_id,partido_id,seleccion_id,orden,jugador_id,resultado
1,53,22,1,282,atajado
2,53,12,1,283,gol
3,53,22,2,284,atajado
4,53,12,2,269,gol
5,53,22,3,21,gol
6,53,12,3,52,poste
7,53,22,4,235,atajado
8,53,12,4,285,gol
9,55,23,1,189,gol
10,55,15,1,286,poste
11,55,23,2,78,gol
12,55,15,2,26,atajado
13,55,23,3,287,atajado
14,55,15,3,195,atajado
15,55,23,4,288,gol
16,57,25,1,289,atajado
17,57,3,1,12,gol
18,57,25,2,262,atajado
19,57,3,2,263,gol
20,57,25,3,253,gol
21,57,3,3,180,gol
22,57,25,4,111,gol
23,57,3,4,46,desviado
24,57,25,5,290,gol
25,57,3,5,291,gol
26,58,12,1,283,gol
27,58,5,1,292,atajado
28,58,12,2,53,gol
29,58,5,2,64,gol
30,58,12,3,193,gol
31,58,5,3,293,gol
32,58,12,4,118,gol
33,58,5,4,270,poste
34,64,3,1,12,gol
35,64,17,1,18,gol
36,64,3,2,294,gol
37,64,17,2,295,atajado
38,64,3,3,263,gol
39,64,17,3,113,desviado
40,64,3,4,180,gol
41,64,17,4,115,gol
